Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['11888-12103', '31203-31475', '31692-31979'] | Reference Text:  these data indicated that miR-223 accumulation is an event specifically induced by RA during granulocytic differentiation of myeloid cells, which occurs independently of the expression of the PML/RARα fusion product ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The relevant role of miR-223 in the differentiation process was demonstrated by both overexpression and knockdown experiments. In the first case, doubling of the cells committed to the granulocyte-specific lineage was obtained, whereas reduced miR-223 levels produced the opposite effect | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 2 | Reference Article:  Fazi.txt | Citing Article:  Du.txt | Citation Marker Offset:  3216-3217 | Citation Marker:  8 | Citation Offset:  2852-3219 | Citation Text:  Secondly, a luciferase-based reporter assay in vitro (RA-In Vitro), in which the entire 3′UTR of putative target gene is cloned into the downstream of luciferase, has been used for rapid detection of miRNA-target interaction in vitro. This approach results in the identifications of LAMC1 and ITGB1, and NFI-A as miR-124 and miR-223 targets, respectively [7] and [8]; | Reference Offset:  ['21042-21386', '21910-22340'] | Reference Text:  In order to validate the NFI-A mRNA as a possible miR-223 target, we set up an assay in which the 3′UTR of the NFI-A gene, including the putative miRNA target site, was inserted downstream of a luciferase ORF (3′NFI-Awt, Figure 4C). A construct containing a mutated sequence of the miRNA binding site, 3′NFI-Amut, was also produced as a control ... A specific negative effect on luciferase activity was observed in the presence of miR-223 on the wild-type substrate, while no reduction in luciferase activity was obtained when the target site was mutated ( Figure 4E). The decrease in luciferase activity was similar to the translational repressor effect observed for other miRNAs on their substrates ( Poy et al., 2004). These results indicated that NFI-A is a target of miR-223 | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 3 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  28398-28415 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  28214-28416 | Citation Text:  Given the mechanism for miR-223 expression in the mouse system, we realized a difference between our results and the previous work reporting the mechanism of human miR-223 regulation (Fazi et al., 2005) | Reference Offset:  ['31203-31475', '31692-31979', '32252-32589'] | Reference Text:  In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The relevant role of miR-223 in the differentiation process was demonstrated by both overexpression and knockdown experiments. In the first case, doubling of the cells committed to the granulocyte-specific lineage was obtained, whereas reduced miR-223 levels produced the opposite effect ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7). C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 4 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  32275-32292 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  32152-32293 | Citation Text:  We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work (Fazi et al., 2005) | Reference Offset:  ['9537-9829', '11431-11568'] | Reference Text:  In addition, the three miRNA species were all detectable in the APL cell line NB4 (Lanotte et al., 1991). Also, in these cells, the addition of RA induced a marked and selective increase of miR-223 starting at 24 hr after treatment and increasing progressively up to 72 hr (Figures 1C and 1D) ... To assess the hematopoietic lineage specificity of miR-223 induction, we studied whether miR-223 could be activated in HL60 and NB4 cells | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 5 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  40888-40905 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  40796-40906 | Citation Text:  Through careful molecular analyses, our study contradicts some aspects of a previous study (Fazi et al., 2005) | Reference Offset:  ['5547-6162'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 6 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  41598-41616 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  41598-41914 | Citation Text:  Fazi et al. (2005) performed most of their experiments based on the assumption that the unique element for C/EBPα and NFI-A lies in the promoter that they identified for the human miR-223. However, the transcription start sites of human pri-miR-223 that we identified in this study indicated a distinct promoter site | Reference Offset:  ['12198-12468', '16586-17683', '18662-19100'] | Reference Text:  By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... We next investigated whether C/EBPα physically interacts with the miR-223 promoter and whether its binding correlates with miR-223 transcriptional upregulation. This association was analyzed in vivo during RA-induced granulopoiesis of NB4 and RA-resistant NB4 cells by chromatin immunoprecipitation (ChIP) experiments (Figure 3). Cells were treated with RA for 4, 24, 48, and 72 hr, and chromatin fragments were immunoprecipitated with an anti-C/EBPα antibody. DNA from the immunoprecipitates was then amplified by PCR using primers (Oligos#1) located in the promoter region close to the putative C/EBPα binding sites (see schematic representation in Figure 3). C/EBPα was found associated with this region after 24, 48, and 72 hr of RA induction in NB4 cells (lanes NB4 24, 48, and 72), whereas no reactivity was measurable in untreated cells (lane 0) or after 4 hr of RA treatment (lane 4). In NB4-MR4 cells, C/EBPα was not detectable throughout all the RA treatment, with only a faint reactivity at 72 hr (lane group NB4-MR4). These results were confirmed also by quantitative PCR (right panel) ... The specificity of C/EBPα occupancy in the region recognized by Oligos#1 was indicated by the detection of signals close to background levels when sequences located further upstream (Oligos#2) were amplified in the same chromatin preparations. These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 7 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  46807-46825 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  46666-46825 | Citation Text:  Our study thus proposes an evolutionarily conserved mechanism for miR-223 expression, and we propose an alternative to the previous model of Fazi et al. (2005) | Reference Offset:  ['5547-6162'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Results_Citation | Annotator:  B, |

