Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['5845-6162', '31203-31475', '37122-37498'] | Reference Text:  Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The regulatory circuitry described here provides another example of how gene reprogramming during differentiation relies on fine modulation of gene expression. It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 2 | Reference Article:  Fazi.txt | Citing Article:  Du.txt | Citation Marker Offset:  3216-3217 | Citation Marker:  8 | Citation Offset:  2568-3436 | Citation Text:  Firstly, numerous bioinformatic algorithms are used to predict potential miRNA target within their 3'UTRs based on the free energy (ΔG) of miRNA-recognition element (MRE) or 5' and 3' sequences flanking the MRE, RNA secondary structure and evolutionary conservation [4], [5] and [6]; Secondly, a luciferase-based reporter assay in vitro (RA-In Vitro), in which the entire 3'UTR of putative target gene is cloned into the downstream of luciferase, has been used for rapid detection of miRNA-target interaction in vitro. This approach results in the identifications of LAMC1 and ITGB1, and NFI-A as miR-124 and miR-223 targets, respectively [7] and [8]; Finally, a fluorescent protein-based transient reporter assay in vivo (TRA-In Vivo) has recently been developed and successfully utilized for miRNA target screen and validation in zebrafish embryos [9], [10] and [11] | Reference Offset:  ['21042-22340'] | Reference Text:  In order to validate the NFI-A mRNA as a possible miR-223 target, we set up an assay in which the 3'UTR of the NFI-A gene, including the putative miRNA target site, was inserted downstream of a luciferase ORF (3'NFI-Awt, Figure 4C). A construct containing a mutated sequence of the miRNA binding site, 3'NFI-Amut, was also produced as a control. The different luciferase constructs were transfected into NB4 cells with a plasmid carrying a constitutive-expression cassette for miR-223 (psiU-223, Figure 4D) or with the same vector expressing an unrelated 21 nucleotide RNA (psiU-control). In these experiments, we preferred utilizing a construct expressing miR-223 under a heterologous and constitutive promoter in order to have a constant level of expression. The ability of psiU-223 to direct the expression and processing of a mature miR-223 is shown ( Figure 4D). A specific negative effect on luciferase activity was observed in the presence of miR-223 on the wild-type substrate, while no reduction in luciferase activity was obtained when the target site was mutated ( Figure 4E). The decrease in luciferase activity was similar to the translational repressor effect observed for other miRNAs on their substrates ( Poy et al., 2004). These results indicated that NFI-A is a target of miR-223 | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 3 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  28398-28415 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  28214-28416 | Citation Text:  Given the mechanism for miR-223 expression in the mouse system, we realized a difference between our results and the previous work reporting the mechanism of human miR-223 regulation (Fazi et al., 2005) | Reference Offset:  ['5063-5544', '34675-35458'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation. Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000). Indeed, NFI-A was shown to interact with this sequence in vivo; nevertheless, its binding was released upon RA treatment and substituted by that of C/EBPα. This displacement correlated with miRNA transcriptional upregulation. Notably, in cells resistant to retinoic acid and unable to undergo differentiation, the NFI-A factor remained on the miRNA promoter and no C/EBPα binding was detected. These findings supported the hypothesis of a competition between the two proteins in the regulation of the miRNA promoter: NFI-A produces low levels of miR-223, while C/EBPα is the differentiation-specific activator | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 4 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  32275-32292 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  32152-32293 | Citation Text:  We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work (Fazi et al., 2005) | Reference Offset:  ['10255-10864'] | Reference Text:  In APL blasts, the effect of RA on granulocytic differentiation is mediated by the PML/RARα fusion product. We therefore measured miR-223 expression levels in two non-APL AML cell lines before and after treatment with RA. HL60 is an AML cell line that expresses a functional RARα known to mediate the RA effect on granulocytic differentiation (Collins et al., 1990). As the NB4 precursor cells, HL60 are able to undergo either myeloid or monocytic differentiation. On the other side, Kasumi-1 is an AML cell line containing the t(8;21) known to be resistant to the effect of RA on granulocytic differentiation | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 5 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  40888-40905 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  40796-41314 | Citation Text:  Through careful molecular analyses, our study contradicts some aspects of a previous study (Fazi et al., 2005). The miR-223 is evolutionarily conserved, and its expression pattern during myeloid differentiation is also similar in human and mouse systems. However, we did not find the unique C/EBPα-binding element that overlaps with NFI-A-binding site in mouse miR-223 gene, suggesting that the previously proposed machinery reported in human miR-223 regulation might not be a conserved mechanism of miR-223 regulation | Reference Offset:  ['2781-3213', '6224-6926', '31203-31475'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow. Interestingly, ectopic expression of miR-181 in mouse hematopoietic precursor cells was shown to lead to an increased fraction of B lineage cells (Chen et al., 2004) ... Probes for miR-223, miR-181a, and miR-142-5, the human counterparts of the murine miR-223, miR-181, and miR-142s species (www.sanger.ac.uk/Software/Rfam/mirna/index.shtml), have been utilized to study the hematopoietic lineage specificity of the corresponding RNAs. Figure 1A shows that, in analogy to the murine model, miR-142-5 was widely expressed in all hematopoietic cells and miR-181a was detectable in bone marrow (BM) CD34+ progenitor cells and in T lymphocytes (Chen et al., 2004). miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34- fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 6 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  41598-41616 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  41598-41785 | Citation Text:  Fazi et al. (2005) performed most of their experiments based on the assumption that the unique element for C/EBPα and NFI-A lies in the promoter that they identified for the human miR-223 | Reference Offset:  ['12198-12468', '19151-19589', '34084-34673'] | Reference Text:  By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... Among the hundreds of predicted regulatory targets of miR-223 (Lewis et al., 2005 and Krek et al., 2005), we noticed transcription factor NFI-A, a protein known to bind sequences related to the ones of C/EBPα (Gronostajski, 2000). Notably, a search in the miR-223 promoter revealed the presence of a NFI-A site (Meisterernst et al., 1988 and Garlatti et al., 1993) overlapping one of the two identified C/EBPα binding sites (see Figure 3) ... The NFI proteins bind as dimers to the dyad symmetric consensus sequence TTGGC(N5)GCCAA; nevertheless, they could also bind very well to individual half-sites, even though with a reduced affinity, and presumably as heterodimers with other proteins (Meisterernst et al., 1988 and Bachurski et al., 1997). Due to the ability to bind to half-sites, the NFI family could somehow compete with the C/EBP factors in binding the CCAAT element (Garlatti et al., 1993). In line with this hypothesis, our experiments indicated a very interesting functional interrelationship between NFI-A and C/EBPα | Discourse Facet:  Hypothesis_Citation | Annotator:  C, |
