Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['5063-5204', '5845-6032'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation ... Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 2 | Reference Article:  Fazi.txt | Citing Article:  Du.txt | Citation Marker Offset:  3216-3217 | Citation Marker:  8 | Citation Offset:  3087-3219 | Citation Text:  This approach results in the identifications of LAMC1 and ITGB1, and NFI-A as miR-124 and miR-223 targets, respectively [7] and [8]; | Reference Offset:  ['5206-5544'] | Reference Text:  Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 3 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  28398-28415 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  28214-28416 | Citation Text:  Given the mechanism for miR-223 expression in the mouse system, we realized a difference between our results and the previous work reporting the mechanism of human miR-223 regulation (Fazi et al., 2005) | Reference Offset:  ['18907-19100'] | Reference Text:  These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 4 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  32275-32292 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  32152-32293 | Citation Text:  We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work (Fazi et al., 2005) | Reference Offset:  ['11290-11428', '22829-22946'] | Reference Text:  Densitometric analysis of the different gels indicated that, in all tested cells, the upregulation of miR-223 ranged between 3- and 5-fold ... NFI-A values were analyzed by densitometric scanning and reported in the histogram after normalization with β-tubulin | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 5 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  40888-40905 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  40796-40906 | Citation Text:  Through careful molecular analyses, our study contradicts some aspects of a previous study (Fazi et al., 2005) | Reference Offset:  ['5206-5544'] | Reference Text:  Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 6 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  41598-41616 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  41598-41785 | Citation Text:  Fazi et al. (2005) performed most of their experiments based on the assumption that the unique element for C/EBPα and NFI-A lies in the promoter that they identified for the human miR-223 | Reference Offset:  ['34675-34847', '34388-34542', '34545-34673'] | Reference Text:  Due to the ability to bind to half-sites, the NFI family could somehow compete with the C/EBP factors in binding the CCAAT element (Garlatti et al., 1993) ... In line with this hypothesis, our experiments indicated a very interesting functional interrelationship between NFI-A and C/EBPα ... One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 7 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  46807-46825 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  46666-46825 | Citation Text:  Our study thus proposes an evolutionarily conserved mechanism for miR-223 expression, and we propose an alternative to the previous model of Fazi et al. (2005) | Reference Offset:  ['5659-5843', '5845-6032', '18907-19100'] | Reference Text:  Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα ... Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation ... These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 8 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5234-5251 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  4992-5252 | Citation Text:  Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique ìminicircuitryî comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα; Fazi et al., 2005) | Reference Offset:  ['4281-4555', '5206-5544'] | Reference Text:  Among the target genes of PML/RARα are included the members of the family of the CCAAT enhancer proteins (C/EBPs), known to regulate cell growth and differentiation of many cell types, including myeloid cells (Wang et al., 1999, McKnight, 2001 and Khanna-Gupta et al., 2001) ... Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 9 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5414-5431 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  5254-5516 | Citation Text:  As shown previously, miR-223 is highly conserved, and its myeloid-specific expression is also well characterized in both human and mouse (Chen et al., 2004 and Fazi et al., 2005), suggesting that the regulatory system is expected to be phylogenetically conserved | Reference Offset:  ['31203-31303', '31305-31475'] | Reference Text:  In this study, we have identified in miR-223 an important modulator of human myeloid differentiation ... This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Method_Citation | Annotator:  G, |

