Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['10127-10252', '31203-31475', '33114-33637'] | Reference Text:  These findings indicated the specificity of miR-223 upregulation in RA-induced granulocytic differentiation of leukemic cells ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... A Model Summarizing the Interplay among miR-223, NFI-A, and C/EBPα in RA-Induced Granulocytic Differentiation. In undifferentiated NB4 cells (left panel), NFI-A binds the miR-223 promoter, keeping levels of miR-223 expression and consequently miR-223-mediated translational repression low. Upon RA treatment (right panel), C/EBPα replaces NFI-A on the miR-223 promoter and boosts miR-223 expression. This results in an increase of miR-223-mediated translational repression of the NFI-A mRNA and decrease of the NFI-A protein | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 2 | Reference Article:  Fazi.txt | Citing Article:  Du.txt | Citation Marker Offset:  3216-3217 | Citation Marker:  8 | Citation Offset:  3087-3219 | Citation Text:  This approach results in the identifications of LAMC1 and ITGB1, and NFI-A as miR-124 and miR-223 targets, respectively [7] and [8]; | Reference Offset:  ['19151-19380', '22283-22340', '32252-32415'] | Reference Text:  Among the hundreds of predicted regulatory targets of miR-223 (Lewis et al., 2005 and Krek et al., 2005), we noticed transcription factor NFI-A, a protein known to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... These results indicated that NFI-A is a target of miR-223 ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 3 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  28398-28415 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  28214-28416 | Citation Text:  Given the mechanism for miR-223 expression in the mouse system, we realized a difference between our results and the previous work reporting the mechanism of human miR-223 regulation (Fazi et al., 2005) | Reference Offset:  ['18907-19100', '31305-31475'] | Reference Text:  These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA ... This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 4 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  32275-32292 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  32152-32293 | Citation Text:  We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work (Fazi et al., 2005) | Reference Offset:  ['11290-11428', '16586-16914', '18907-19100'] | Reference Text:  Densitometric analysis of the different gels indicated that, in all tested cells, the upregulation of miR-223 ranged between 3- and 5-fold ... We next investigated whether C/EBPα physically interacts with the miR-223 promoter and whether its binding correlates with miR-223 transcriptional upregulation. This association was analyzed in vivo during RA-induced granulopoiesis of NB4 and RA-resistant NB4 cells by chromatin immunoprecipitation (ChIP) experiments (Figure 3) ... These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Method_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 5 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  40888-40905 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  40796-41314 | Citation Text:  Through careful molecular analyses, our study contradicts some aspects of a previous study (Fazi et al., 2005). The miR-223 is evolutionarily conserved, and its expression pattern during myeloid differentiation is also similar in human and mouse systems. However, we did not find the unique C/EBPα-binding element that overlaps with NFI-A-binding site in mouse miR-223 gene, suggesting that the previously proposed machinery reported in human miR-223 regulation might not be a conserved mechanism of miR-223 regulation | Reference Offset:  ['19382-19589', '34675-34847'] | Reference Text:  Notably, a search in the miR-223 promoter revealed the presence of a NFI-A site (Meisterernst et al., 1988 and Garlatti et al., 1993) overlapping one of the two identified C/EBPα binding sites (see Figure 3) ... One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 6 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  41598-41616 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  41598-41914 | Citation Text:  Fazi et al. (2005) performed most of their experiments based on the assumption that the unique element for C/EBPα and NFI-A lies in the promoter that they identified for the human miR-223. However, the transcription start sites of human pri-miR-223 that we identified in this study indicated a distinct promoter site | Reference Offset:  ['12198-12468', '32417-32589', '34849-35003'] | Reference Text:  By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction ... Indeed, NFI-A was shown to interact with this sequence in vivo; nevertheless, its binding was released upon RA treatment and substituted by that of C/EBPα | Discourse Facet:  Results_Citation | Annotator:  I, |

