Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3722-4162', '28446-29072', '4852-5262'] | Reference Text:  programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3−/− mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... Our results also support a role for RIP3-dependent programmed necrosis in promoting the subsequent virus-induced inflammation. An important role for RIP1/RIP3-mediated programmed necrosis in anti-viral responses is further bolstered by our previous discovery of certain viral FLIPs that potently inhibit programmed necrosis (Chan et al., 2003). More recently, the M45 viral cell death inhibitor from murine cytomegalovirus was shown to interact with RIP1 and RIP3 via the RHIM (Upton et al., 2008). These results suggest that like apoptosis, inhibition of programmed necrosis might be an emerging viral immune evasion strategy | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 2 | Reference Article:  Cho.txt | Citing Article:  Dickens.txt | Citation Marker Offset:  4097-4113 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3858-4151 | Citation Text:  Intriguingly, in the presence of caspase inhibitors or following caspase-8 gene ablation, death receptors have also recently been shown to induce necrotic cell death, a process which is dependent on the kinase activity of RIPK1 and RIPK3 (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['3144-3208', '7425-7796', '8134-8389'] | Reference Text:  The kinase function of RIP1 is essential for programmed necrosis ... RIP3 contains an N-terminal kinase domain with ~ 40% identity with the kinase domain of RIP1 (Fig. 2A). A kinase-defective (KD) RIP3 mutant failed to restore TNF-induced programmed necrosis in Jurkat cells whose endogenous RIP3 expression was silenced by siRNA (Fig. 2B, RIP3-null Jurkat cells), indicating that the RIP3 kinase activity is crucial for programmed necrosis ... Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 3 | Reference Article:  Cho.txt | Citing Article:  Fu.txt | Citation Marker Offset:  21802-21804 | Citation Marker:  22 | Citation Offset:  21695-21808 | Citation Text:  Moreover, other reports have also shown that necroptosis could be induced via modulating RIP1 and RIP3 [16,22-24] | Reference Offset:  ['4420-4655', '24213-24432'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 4 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  27629-27645 | Citation Marker:  Cho et al., 2009 | Citation Offset:  27518-27646 | Citation Text:  It has been shown that both RIP1 and RIP3 kinase activities are required for complex formation and cell death (Cho et al., 2009) | Reference Offset:  ['7425-8389', '17144-17284', '25481-25612'] | Reference Text:  RIP3 contains an N-terminal kinase domain with ~ 40% identity with the kinase domain of RIP1 (Fig. 2A). A kinase-defective (KD) RIP3 mutant failed to restore TNF-induced programmed necrosis in Jurkat cells whose endogenous RIP3 expression was silenced by siRNA (Fig. 2B, RIP3-null Jurkat cells), indicating that the RIP3 kinase activity is crucial for programmed necrosis. RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... our data strongly implicate that phosphorylation of RIP1 and RIP3 plays a crucial role in the stable assembly of the pro-necrotic Complex II ... Our results implicate a crucial role for RIP1 and RIP3 phosphorylation in the stable assembly of the pro-necrotic RIP1-RIP3 complex | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 5 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3012-3028 | Citation Marker:  Cho et al., 2009 | Citation Offset:  2780-3066 | Citation Text:  When caspases are inhibited by pharmacological inhibitors or under certain physiological conditions such as viral infections, RIP1 and RIP3 form the necrosome to initiate a third pathway known as programmed necrosis or necroptosis (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['4852-5262', '23156-23359', '18786-19083'] | Reference Text:  Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3−/− mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... we examined cell death responses in activated wild type and RIP3−/− T-cells infected with vaccinia virus (VV), which encodes the viral caspase inhibitor B13R/Spi2. VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000) ... the pro-necrotic RIP1-RIP3 complex was detected in infected liver cell extracts 12-24 hours post-infection (Fig. 7E), indicating that liver cells underwent programmed necrosis in response to VV infection | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 6 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3748-3764 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3625-3765 | Citation Text:  In addition to caspase inhibition, assembly of the RIP1/RIP3 necrosome also requires intact RIP1 and RIP3 kinase activity (Cho et al., 2009) | Reference Offset:  ['16528-16798', '17144-17284', '25481-25612'] | Reference Text:  Similar to the recruitment of RIP1 and RIP3 to FADD, the interaction between RIP1 and RIP3 was abolished by Nec-1 (Fig. 4F, compare lanes 7-8 and Fig. 4G, lanes 2-3), indicating that the RIP1 kinase activity was also required for stable interaction between RIP1 and RIP3 ... our data strongly implicate that phosphorylation of RIP1 and RIP3 plays a crucial role in the stable assembly of the pro-necrotic Complex II ... Our results implicate a crucial role for RIP1 and RIP3 phosphorylation in the stable assembly of the pro-necrotic RIP1-RIP3 complex | Discourse Facet:  Results_Citation | Annotator:  B, |
