Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3521-4162', '21312-22015', '28573-29072'] | Reference Text:  As we have discussed above, necrosis distinguishes itself from apoptosis by its pro-inflammatory effects. Such pro-inflammatory effects might be important for anti-viral immune responses. In addition, programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... TNF-TNFR interactions are known to be important for the innate immune defense against VV infection (Chan et al., 2003; Ruby et al., 1997). The requirement for RIP3 to induce cell death in VV-infected cells suggests that TNF might confer protection against VV via RIP3-dependent programmed necrosis. To test this hypothesis, we infected wild type and RIP3-/- mice with VV. Consistent with its innate immune protective role, TNF expression was detected in peritoneal exudate cells (PECs) 24 hours post-infection (Fig. 7A). Moreover, TNF expression was induced in the liver and spleen of infected wild type and RIP3-/- mice (Fig. 7B). Thus, virus-induced TNF expression was not impaired in the RIP3-/- mice ... An important role for RIP1/RIP3-mediated programmed necrosis in anti-viral responses is further bolstered by our previous discovery of certain viral FLIPs that potently inhibit programmed necrosis (Chan et al., 2003). More recently, the M45 viral cell death inhibitor from murine cytomegalovirus was shown to interact with RIP1 and RIP3 via the RHIM (Upton et al., 2008). These results suggest that like apoptosis, inhibition of programmed necrosis might be an emerging viral immune evasion strategy | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 2 | Reference Article:  Cho.txt | Citing Article:  Dickens.txt | Citation Marker Offset:  4097-4113 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3858-4151 | Citation Text:  Intriguingly, in the presence of caspase inhibitors or following caspase-8 gene ablation, death receptors have also recently been shown to induce necrotic cell death, a process which is dependent on the kinase activity of RIPK1 and RIPK3 (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['4420-4850', '8922-10012', '18606-19812'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation. Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production ... Because RIP1 is recruited to both Complex I and Complex II, we examined RIP3 recruitment to these signaling complexes. In TNFR-2+ Jurkat 4E3 cells, TNF triggers both apoptosis and programmed necrosis, although apoptosis predominates due to its faster kinetics unless caspases are inhibited (Zheng et al., 2006). In TNFR-2+ Jurkat 4E3 cells, RIP3 was recruited to caspase-8-associated Complex II (Fig. 2E), but not to TNFR-1 associated Complex I (Fig. 2F). On short exposure, zVAD-fmk moderately enhanced RIP1 and RIP3 binding to caspase-8-associated Complex II (Fig. 2E). However, the difference was minor and not distinguishable on longer exposure (Fig. S3). On longer exposure, RIP1 cleavage in Complex II was also visible (Fig. S3). Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) ... One physiological situation in which caspases are inhibited and programmed necrosis might be important is during viral infections (Benedict et al., 2002). To test this hypothesis, we examined cell death responses in activated wild type and RIP3-/- T-cells infected with vaccinia virus (VV), which encodes the viral caspase inhibitor B13R/Spi2. VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000). Wild type T-cells infected with recombinant GFP-VV exhibited normal T-cell activation-induced cell death (AICD) induced by anti-CD3 antibody (Fig. 6A, compare the white bars). In contrast, AICD in GFP-VV infected RIP3-/- T-cells was significantly reduced compared with uninfected GFP- cells in the same culture (Fig. 6A, compare the black bars). VV-infected RIP3-/- cells were also protected from TNF-induced cell death (Fig. 6B, black bars). In fact, TNF stimulated the proliferation of GFP+ VV-infected RIP3-/- cells, which accounted for the negative cell loss. VV-infected wild type T-cells also exhibited a modest decrease in TNF-induced cell death due to the inhibition of caspase-dependent apoptosis (Fig. 6B, white bars) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 3 | Reference Article:  Cho.txt | Citing Article:  Fu.txt | Citation Marker Offset:  21802-21804 | Citation Marker:  22 | Citation Offset:  21695-21808 | Citation Text:  Moreover, other reports have also shown that necroptosis could be induced via modulating RIP1 and RIP3 [16,22-24] | Reference Offset:  ['826-1604', '13026-14134', '24098-24869'] | Reference Text:  Using a RNA interference screen, we identified RIP3 as a crucial activator for programmed necrosis induced by TNF and during virus infection. RIP3 regulates necrosis-specific RIP1 phosphorylation. The phosphorylation of RIP1 and RIP3 stabilizes their association within the pro-necrotic complex, activates the pro-necrotic kinase activity, and triggers downstream reactive oxygen species production. The pro-necrotic RIP1-RIP3 complex is induced during vaccinia virus infection. Consequently, RIP3-/- mice exhibited severely impaired virus-induced tissue necrosis, inflammation, and control of viral replication. Thus, RIP3 controls programmed necrosis by initiating the pro-necrotic kinase cascade that is essential for the innate inflammatory response against virus infections ... To further define the molecular regulation of programmed necrosis, we examined the recruitment of RIP1 and RIP3 to Complex II in MEFs because the role of RIP3 in the assembly of the pro-necrotic complex could be evaluated using RIP3-/- MEFs. Similar to Jurkat cells, constitutive association between RIP3 and FADD was also detected in MEFs (Fig. 4A). When programmed necrosis was induced in wild type MEFs with TNF, cycloheximide and zVAD-fmk (T/C/Z) (Fig. S5), RIP1 was recruited to FADD in a TNF-dependent manner (Fig. 4A, lane 3). Moreover, TNF treatment led to further recruitment of RIP3 to the FADD-associated Complex II and RIP3 modification that resembles polyubiquitination (Fig. 4A, lane 3). Strikingly, RIP1 recruitment to Complex II was severely impaired in RIP3-/- MEFs (Fig. 4A, lanes 5-8). The RIP1 kinase inhibitor necrostatin-1 (Nec-1) (Degterev et al., 2008) also abolished RIP1 recruitment to FADD and inhibited additional RIP3 binding to the complex (Fig. 4A, lane 4 and Fig. S6). These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation. However, since the level of RIP1 phosphorylation by ectopically expressed RIP3 was low, it remains possible that RIP3 may activate another kinase that directly phosphorylates RIP1. Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis. Because ectopically expressed RIP1 did not phosphorylate RIP3, RIP1 may facilitate RIP3 phosphorylation by activating another downstream kinase | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 4 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  27629-27645 | Citation Marker:  Cho et al., 2009 | Citation Offset:  27518-27646 | Citation Text:  It has been shown that both RIP1 and RIP3 kinase activities are required for complex formation and cell death (Cho et al., 2009) | Reference Offset:  ['4420-4850', '24098-24869'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation. Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation. However, since the level of RIP1 phosphorylation by ectopically expressed RIP3 was low, it remains possible that RIP3 may activate another kinase that directly phosphorylates RIP1. Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis. Because ectopically expressed RIP1 did not phosphorylate RIP3, RIP1 may facilitate RIP3 phosphorylation by activating another downstream kinase | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 5 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3012-3028 | Citation Marker:  Cho et al., 2009 | Citation Offset:  2780-3066 | Citation Text:  When caspases are inhibited by pharmacological inhibitors or under certain physiological conditions such as viral infections, RIP1 and RIP3 form the necrosome to initiate a third pathway known as programmed necrosis or necroptosis (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['3812-4162', '4420-5262', '9658-10012'] | Reference Text:  An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation. Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production. Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3-/- mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 6 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3748-3764 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3625-3765 | Citation Text:  In addition to caspase inhibition, assembly of the RIP1/RIP3 necrosome also requires intact RIP1 and RIP3 kinase activity (Cho et al., 2009) | Reference Offset:  ['7798-8389', '16400-16798'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... By contrast, programmed necrosis induced by T/C/Z specifically induced formation of the RIP1-RIP3 complex (Fig. 4E, lanes 5-8). Similar to the recruitment of RIP1 and RIP3 to FADD, the interaction between RIP1 and RIP3 was abolished by Nec-1 (Fig. 4F, compare lanes 7-8 and Fig. 4G, lanes 2-3), indicating that the RIP1 kinase activity was also required for stable interaction between RIP1 and RIP3 | Discourse Facet:  Results_Citation | Annotator:  C, |
