Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3627-4162', '21068-21251', '23598-23730'] | Reference Text:  Such pro-inflammatory effects might be important for anti-viral immune responses. In addition, programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors ... Collectively, our results strongly support a role for RIP3 in promoting programmed necrosis and virus-induced inflammation (Fig. S9) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 2 | Reference Article:  Cho.txt | Citing Article:  Dickens.txt | Citation Marker Offset:  4097-4113 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3858-4151 | Citation Text:  Intriguingly, in the presence of caspase inhibitors or following caspase-8 gene ablation, death receptors have also recently been shown to induce necrotic cell death, a process which is dependent on the kinase activity of RIPK1 and RIPK3 (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['4420-4655', '8296-8389', '24098-24361'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 3 | Reference Article:  Cho.txt | Citing Article:  Fu.txt | Citation Marker Offset:  21802-21804 | Citation Marker:  22 | Citation Offset:  21695-21808 | Citation Text:  Moreover, other reports have also shown that necroptosis could be induced via modulating RIP1 and RIP3 [16,22-24] | Reference Offset:  ['4420-4655', '24098-24361'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 4 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  27629-27645 | Citation Marker:  Cho et al., 2009 | Citation Offset:  27518-27646 | Citation Text:  It has been shown that both RIP1 and RIP3 kinase activities are required for complex formation and cell death (Cho et al., 2009) | Reference Offset:  ['14027-14134', '17128-17284', '24098-24361'] | Reference Text:  These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II ... Taken together, our data strongly implicate that phosphorylation of RIP1 and RIP3 plays a crucial role in the stable assembly of the pro-necrotic Complex II ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 5 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3012-3028 | Citation Marker:  Cho et al., 2009 | Citation Offset:  2780-3066 | Citation Text:  When caspases are inhibited by pharmacological inhibitors or under certain physiological conditions such as viral infections, RIP1 and RIP3 form the necrosome to initiate a third pathway known as programmed necrosis or necroptosis (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['4657-5262', '18761-19083', '21068-21251'] | Reference Text:  Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production. Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3−/− mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... To test this hypothesis, we examined cell death responses in activated wild type and RIP3−/− T-cells infected with vaccinia virus (VV), which encodes the viral caspase inhibitor B13R/Spi2. VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000) ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 6 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3748-3764 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3625-3765 | Citation Text:  In addition to caspase inhibition, assembly of the RIP1/RIP3 necrosome also requires intact RIP1 and RIP3 kinase activity (Cho et al., 2009) | Reference Offset:  ['14027-14134', '17128-17284', '24098-24361'] | Reference Text:  These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II ... Taken together, our data strongly implicate that phosphorylation of RIP1 and RIP3 plays a crucial role in the stable assembly of the pro-necrotic Complex II ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

