Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['5114-5262'] | Reference Text:  These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 2 | Reference Article:  Cho.txt | Citing Article:  Dickens.txt | Citation Marker Offset:  4097-4113 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3858-4151 | Citation Text:  Intriguingly, in the presence of caspase inhibitors or following caspase-8 gene ablation, death receptors have also recently been shown to induce necrotic cell death, a process which is dependent on the kinase activity of RIPK1 and RIPK3 (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['11985-12070', '14027-14134'] | Reference Text:  Thus, the induction of Complex II kinase activity was specific to programmed necrosis ... These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 3 | Reference Article:  Cho.txt | Citing Article:  Fu.txt | Citation Marker Offset:  21802-21804 | Citation Marker:  22 | Citation Offset:  21695-21808 | Citation Text:  Moreover, other reports have also shown that necroptosis could be induced via modulating RIP1 and RIP3 [16,22-24] | Reference Offset:  ['13377-13558', '13560-13726', '14027-14134'] | Reference Text:  When programmed necrosis was induced in wild type MEFs with TNF, cycloheximide and zVAD-fmk (T/C/Z) (Fig. S5), RIP1 was recruited to FADD in a TNF-dependent manner (Fig. 4A, lane 3) ... Moreover, TNF treatment led to further recruitment of RIP3 to the FADD-associated Complex II and RIP3 modification that resembles polyubiquitination (Fig. 4A, lane 3) ... These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 4 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  27629-27645 | Citation Marker:  Cho et al., 2009 | Citation Offset:  27518-27646 | Citation Text:  It has been shown that both RIP1 and RIP3 kinase activities are required for complex formation and cell death (Cho et al., 2009) | Reference Offset:  ['24616-24724', '24098-24361', '26324-26484'] | Reference Text:  Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis ... Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis ... Consistent with this model, RIP3 RHIM mutant was kinase inactive and failed to sensitize programmed necrosis in wild type Jurkat cells (unpublished observation) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 5 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3012-3028 | Citation Marker:  Cho et al., 2009 | Citation Offset:  2780-3066 | Citation Text:  When caspases are inhibited by pharmacological inhibitors or under certain physiological conditions such as viral infections, RIP1 and RIP3 form the necrosome to initiate a third pathway known as programmed necrosis or necroptosis (Cho et al., 2009; He et al., 2009; Zhang et al., 2009) | Reference Offset:  ['14027-14134', '21068-21251'] | Reference Text:  These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 6 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  3748-3764 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3625-3765 | Citation Text:  In addition to caspase inhibition, assembly of the RIP1/RIP3 necrosome also requires intact RIP1 and RIP3 kinase activity (Cho et al., 2009) | Reference Offset:  ['16400-16526', '16528-16798'] | Reference Text:  By contrast, programmed necrosis induced by T/C/Z specifically induced formation of the RIP1-RIP3 complex (Fig. 4E, lanes 5-8) ... Similar to the recruitment of RIP1 and RIP3 to FADD, the interaction between RIP1 and RIP3 was abolished by Nec-1 (Fig. 4F, compare lanes 7-8 and Fig. 4G, lanes 2-3), indicating that the RIP1 kinase activity was also required for stable interaction between RIP1 and RIP3 | Discourse Facet:  Implication_Citation | Annotator:  G, |
