Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14458-14608', '14944-15031', '45342-45795'] | Reference Text:  we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A) ... they are uniquely epigenetically silenced through DNA methylation in IDH1/2-mutant AMLs ... here we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes. In addition to the global increase in promoter methylation, IDH1/2-mutant AMLs display a robust and unique epigenetic signature, consisting almost entirely of hypermethylated genes, indicating that aberrant cytosine methylation in IDH1/2-mutant AML affects specific loci with known and putative roles in leukemogenesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 2 | Reference Article:  Figueroa.txt | Citing Article:  Chen,Kon.txt | Citation Marker Offset:  31014-31035 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  30831-31036 | Citation Text:  Indeed, according to the data deposited in the AML gene expression profile database from Oncomine Research, the mRNA levels of ULF are significantly high in human AML cancer samples (Figueroa et al., 2010) | Reference Offset:  ['7444-7706', '8276-8599'] | Reference Text:  we performed a large-scale genetic, epigenetic, and transcriptional profiling study in a cohort of 385 de novo AML patients of ≤60 years of age enrolled in a phase III multicenter Eastern Cooperative Oncology Group (ECOG) clinical trial ( Fernandez et al., 2009) ... Specimens (385) from a total cohort of 398 patients with de novo AML younger than 60 years of age enrolled in the ECOG E1900 clinical trial (Fernandez et al., 2009) were subjected to DNA sequence analysis for AML-associated recurrent mutations, gene expression microarray profiling, and DNA methylation microarray profiling | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 3 | Reference Article:  Figueroa.txt | Citing Article:  Garraway.txt | Citation Marker Offset:  28593-28614 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  28352-28716 | Citation Text:  Unexpectedly, the mechanism was clarified by yet another genomic survey, this time involving acute myelogenous leukemia (AML). This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations ( Figueroa et al., 2010), suggesting that the two types of mutations had similar effects and were thus functionally redundant | Reference Offset:  ['30334-31099'] | Reference Text:  In contrast to the other genes analyzed, the relationship between IDH1/2 and TET2 mutations was striking in this AML cohort. Although IDH1, IDH2, and TET2 mutations were each identified in a significant proportion of patients in our study, there was a statistically significant inverse correlation between IDH1/2 and TET2 mutations in AML (p = 0.009, left-tailed Fisher's exact test). Specifically, we did not identify a single patient with concurrent mutations in TET2 and in IDH1 or IDH2; 0/57 IDH1/2-mutant cases were TET2-mutant versus 28/300 IDH1/2-wild-type AML cases ( Figure 4). These data suggest that TET2 and IDH1/2 mutations form a distinct mutational class in AML, and that IDH1/2 mutations and TET2 mutations have overlapping roles in AML pathogenesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 4 | Reference Article:  Figueroa.txt | Citing Article:  Guo,Su.txt | Citation Marker Offset:  7138-7159 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  7016-7271 | Citation Text:  In two recent studies, loss-of-function mutations of TET2 appeared to display opposite effects on DNA methylation status (Figueroa et al., 2010; Ko et al., 2010), further raising the question of a general role of TET proteins and 5hmC in DNA demethylation | Reference Offset:  ['36722-37149', '37993-38197', '38639-39267'] | Reference Text:  We then compared the methylation signature of TET2-mutant AML cases to AMLs that were wild-type for the IDH1/2 and TET2 loci. This analysis allowed us to determine that TET2-mutant AMLs displayed a unique methylation signature consisting of 57 DMRs (p < 0.05 T+BH). IDH1/2-mutant AMLs also displayed a 57-DMR signature when compared to IDH1/2-wild-type and TET2-wild-type AMLs (>2 log2 methylation difference and p < 0.05 T+BH) ... Similar to the case of IDH1/2, there was a marked overall trend toward promoter hypermethylation in TET2-mutant AMLs compared to TET2- and IDH1/2-wild-type AMLs and to NBM CD34+ cells ( Figures 6C and 6D) ... We also examined whether loss of TET2 in cells resulted in a similar increase in 5-methylcytosine levels as did expression of mutant IDH1/2. Two independent short-hairpin RNAs (shRNAs) were used to stably knock down TET2 in murine primary bone marrow cells. LC-ESI-MS/MS analysis revealed that expression of validated TET2 shRNA constructs or IDH1/2 mutations in murine primary bone marrow cells led to an ∼20% increase in 5-methylcytosine levels (Figure S4C). These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 5 | Reference Article:  Figueroa.txt | Citing Article:  Liu,Liu.txt | Citation Marker Offset:  19588-19590 | Citation Marker:  18 | Citation Offset:  19412-19597 | Citation Text:  Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations [18], [19] | Reference Offset:  ['32084-33528'] | Reference Text:  We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 6 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  24275-24296 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  24099-24314 | Citation Text:  In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['32084-33528'] | Reference Text:  We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  B, |
