Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14304-15031', '34612-34890', '45207-45795'] | Reference Text:  Using stringent criteria (absolute log2 difference in methylation > 1.5, p < 0.05 t test with Benjamini-Hochberg correction for multiple testing [T+BH]), we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A). Thirty of these genes could be assessed for gene expression (i.e., they were present on the expression arrays used in this study) and 23/30 (77%) were repressed, consistent with the expected effect of hypermethylation. Although many of these genes were also expressed at relatively low abundance in a subset of IDH1/2-wild-type AMLs, they are uniquely epigenetically silenced through DNA methylation in IDH1/2-mutant AMLs ... The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells ... Although we have previously shown that aberrant DNA methylation patterning is a characteristic feature of AML (Figueroa et al., 2010), here we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes. In addition to the global increase in promoter methylation, IDH1/2-mutant AMLs display a robust and unique epigenetic signature, consisting almost entirely of hypermethylated genes, indicating that aberrant cytosine methylation in IDH1/2-mutant AML affects specific loci with known and putative roles in leukemogenesis | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 2 | Reference Article:  Figueroa.txt | Citing Article:  Chen,Kon.txt | Citation Marker Offset:  31014-31035 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  30831-31036 | Citation Text:  Indeed, according to the data deposited in the AML gene expression profile database from Oncomine Research, the mRNA levels of ULF are significantly high in human AML cancer samples (Figueroa et al., 2010) | Reference Offset:  ['7339-7706', '8276-8982', '57900-58038'] | Reference Text:  In order to explore the mechanism of action of both IDH1 and IDH2 mutations in malignant transformation, we performed a large-scale genetic, epigenetic, and transcriptional profiling study in a cohort of 385 de novo AML patients of ≤60 years of age enrolled in a phase III multicenter Eastern Cooperative Oncology Group (ECOG) clinical trial ( Fernandez et al., 2009) ... Specimens (385) from a total cohort of 398 patients with de novo AML younger than 60 years of age enrolled in the ECOG E1900 clinical trial (Fernandez et al., 2009) were subjected to DNA sequence analysis for AML-associated recurrent mutations, gene expression microarray profiling, and DNA methylation microarray profiling. Patient characteristics are summarized in Table 1. High-throughput resequencing of IDH1 and IDH2 revealed IDH1 R132 mutations in 6.2% of patients and IDH2 mutations in 8.6% of patients (6.3% R140Q and 2.3% R172K). Patients with mutations in IDH1 or IDH2 did not differ from IDH1/2-wild-type patients in terms of age, sex, or percentage of bone marrow blasts at diagnosis ( Table 1) ... All arrays have been deposited in the Gene Expression Omnibus repository (http://www.ncbi.nlm.nih.gov/geo) under accession number GSE24505 | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 3 | Reference Article:  Figueroa.txt | Citing Article:  Garraway.txt | Citation Marker Offset:  28593-28614 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  28352-28716 | Citation Text:  Unexpectedly, the mechanism was clarified by yet another genomic survey, this time involving acute myelogenous leukemia (AML). This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations ( Figueroa et al., 2010), suggesting that the two types of mutations had similar effects and were thus functionally redundant | Reference Offset:  ['1047-1571', '30459-31099', '48354-48534'] | Reference Text:  Mutational and epigenetic profiling of a large acute myeloid leukemia (AML) patient cohort revealed that IDH1/2-mutant AMLs display global DNA hypermethylation and a specific hypermethylation signature. Furthermore, expression of 2HG-producing IDH alleles in cells induced global DNA hypermethylation. In the AML cohort, IDH1/2 mutations were mutually exclusive with mutations in the α-ketoglutarate-dependent enzyme TET2, and TET2 loss-of-function mutations were associated with similar epigenetic defects as IDH1/2 mutants ... Although IDH1, IDH2, and TET2 mutations were each identified in a significant proportion of patients in our study, there was a statistically significant inverse correlation between IDH1/2 and TET2 mutations in AML (p = 0.009, left-tailed Fisher's exact test). Specifically, we did not identify a single patient with concurrent mutations in TET2 and in IDH1 or IDH2; 0/57 IDH1/2-mutant cases were TET2-mutant versus 28/300 IDH1/2-wild-type AML cases ( Figure 4). These data suggest that TET2 and IDH1/2 mutations form a distinct mutational class in AML, and that IDH1/2 mutations and TET2 mutations have overlapping roles in AML pathogenesis ... We observed that IDH1/2 and TET2 mutations were mutually exclusive in a large, genetically annotated de novo AML cohort, suggesting that these lesions may be biologically redundant | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 4 | Reference Article:  Figueroa.txt | Citing Article:  Guo,Su.txt | Citation Marker Offset:  7138-7159 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  7016-7271 | Citation Text:  In two recent studies, loss-of-function mutations of TET2 appeared to display opposite effects on DNA methylation status (Figueroa et al., 2010; Ko et al., 2010), further raising the question of a general role of TET proteins and 5hmC in DNA demethylation | Reference Offset:  ['38897-39267', '48725-49184'] | Reference Text:  LC-ESI-MS/MS analysis revealed that expression of validated TET2 shRNA constructs or IDH1/2 mutations in murine primary bone marrow cells led to an ∼20% increase in 5-methylcytosine levels (Figure S4C). These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario. Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 5 | Reference Article:  Figueroa.txt | Citing Article:  Liu,Liu.txt | Citation Marker Offset:  19588-19590 | Citation Marker:  18 | Citation Offset:  19412-19597 | Citation Text:  Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations [18], [19] | Reference Offset:  ['28436-29000', '34612-34890', '48725-49341'] | Reference Text:  Recently, all TET family members including TET2 were shown to catalyze the conversion of 5-methylcytosine to 5-hydroxymethylcytosine (5-OH-MeC) ( Ito et al., 2010 and Tahiliani et al., 2009). The reaction depends on αKG, iron, and oxygen. Although the physiological significance of 5-OH-MeC remains to be determined, it is likely to be the intermediate in the pathway that actively demethylates 5-methylcytosine ( Wu and Zhang, 2010). Importantly, expression of TET1 or TET2 in cellular systems results in a reduction in 5-methylcytosine levels ( Ito et al., 2010) ... The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario. Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature. Most importantly, expression of IDH1/2 mutants induced an increase in global DNA hypermethylation, and inhibited TET2-induced cytosine 5-hydroxymethylation | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 6 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  24275-24296 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  24099-24314 | Citation Text:  In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['40416-40589', '42258-42884', '43625-43903'] | Reference Text:  Analysis of the aberrant DNA methylation and gene expression signatures of IDH1/2-mutant AMLs suggested a role for these genetic lesions in impairing myeloid differentiation ... Importantly, we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C). After 14 days in methylcellulose culture, 7.8% of empty-vector-treated cells and 9.5% of IDH2-wild-type-expressing cells were Mac-1/Gr-1 double positive. In contrast, bone marrow cells expressing IDH2 R140Q (2.5% of cells double positive for Mac-1/Gr-1) or with stable Tet2 knockdown (2.9%ñ3.1% of cells double positive for Mac-1/Gr-1) had a >3-fold reduction in the proportion of cells coexpressing these mature myeloid markers ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Discussion_Citation | Annotator:  C, |
