Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['15033-15414'] | Reference Text:  Furthermore, as evidenced from the asymmetry observed in the volcano dot plot in Figure 2A, in which methylation difference between IDH1/2-mutant and -wild-type AMLs is plotted against statistical significance, we also observed a significant increase in overall promoter DNA methylation levels in IDH1/2-mutant AMLs versus other AML patients, consistent with a methylator phenotype | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 2 | Reference Article:  Figueroa.txt | Citing Article:  Chen,Kon.txt | Citation Marker Offset:  31014-31035 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  30831-31036 | Citation Text:  Indeed, according to the data deposited in the AML gene expression profile database from Oncomine Research, the mRNA levels of ULF are significantly high in human AML cancer samples (Figueroa et al., 2010) | Reference Offset:  ['57900-58038'] | Reference Text:  All arrays have been deposited in the Gene Expression Omnibus repository (http://www.ncbi.nlm.nih.gov/geo) under accession number GSE24505 | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 3 | Reference Article:  Figueroa.txt | Citing Article:  Garraway.txt | Citation Marker Offset:  28593-28614 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  28479-28716 | Citation Text:  This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations ( Figueroa et al., 2010), suggesting that the two types of mutations had similar effects and were thus functionally redundant | Reference Offset:  ['33157-33370', '48169-48351'] | Reference Text:  Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5) ... Third, we found that IDH1/2 mutations were mutually exclusive of TET2 mutations in AML and that expression of mutant, but not wild-type, IDH proteins disrupted TET2 function in cells | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 4 | Reference Article:  Figueroa.txt | Citing Article:  Guo,Su.txt | Citation Marker Offset:  7138-7159 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  7016-7271 | Citation Text:  In two recent studies, loss-of-function mutations of TET2 appeared to display opposite effects on DNA methylation status (Figueroa et al., 2010; Ko et al., 2010), further raising the question of a general role of TET proteins and 5hmC in DNA demethylation | Reference Offset:  ['48725-48847'] | Reference Text:  TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 5 | Reference Article:  Figueroa.txt | Citing Article:  Liu,Liu.txt | Citation Marker Offset:  19588-19590 | Citation Marker:  18 | Citation Offset:  19412-19597 | Citation Text:  Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations [18], [19] | Reference Offset:  ['33372-33528'] | Reference Text:  Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 6 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  24275-24296 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  24099-24314 | Citation Text:  In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['43625-43903'] | Reference Text:  These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |
