Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14458-14608', '20827-20940', '45347-45475'] | Reference Text:  we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A) ... The data demonstrate that IDH1 and IDH2 neomorphic mutations have similar effects on DNA methylation in AML cells ... we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 2 | Reference Article:  Figueroa.txt | Citing Article:  Chen,Kon.txt | Citation Marker Offset:  31014-31035 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  30831-31036 | Citation Text:  Indeed, according to the data deposited in the AML gene expression profile database from Oncomine Research, the mRNA levels of ULF are significantly high in human AML cancer samples (Figueroa et al., 2010) | Reference Offset:  ['8276-8599', '57900-58038'] | Reference Text:  Specimens (385) from a total cohort of 398 patients with de novo AML younger than 60 years of age enrolled in the ECOG E1900 clinical trial (Fernandez et al., 2009) were subjected to DNA sequence analysis for AML-associated recurrent mutations, gene expression microarray profiling, and DNA methylation microarray profiling ... All arrays have been deposited in the Gene Expression Omnibus repository (http://www.ncbi.nlm.nih.gov/geo) under accession number GSE24505 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 3 | Reference Article:  Figueroa.txt | Citing Article:  Garraway.txt | Citation Marker Offset:  28593-28614 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  28479-28716 | Citation Text:  This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations ( Figueroa et al., 2010), suggesting that the two types of mutations had similar effects and were thus functionally redundant | Reference Offset:  ['34612-34890', '48169-48351', '48849-48985'] | Reference Text:  The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells ... Third, we found that IDH1/2 mutations were mutually exclusive of TET2 mutations in AML and that expression of mutant, but not wild-type, IDH proteins disrupted TET2 function in cells ... Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 4 | Reference Article:  Figueroa.txt | Citing Article:  Guo,Su.txt | Citation Marker Offset:  7138-7159 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  6931-7271 | Citation Text:  However, direct evidence for active demethylation of 5hmC-containing DNA is lacking. In two recent studies, loss-of-function mutations of TET2 appeared to display opposite effects on DNA methylation status (Figueroa et al., 2010; Ko et al., 2010), further raising the question of a general role of TET proteins and 5hmC in DNA demethylation | Reference Offset:  ['39100-39267', '48725-48847'] | Reference Text:  These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 5 | Reference Article:  Figueroa.txt | Citing Article:  Liu,Liu.txt | Citation Marker Offset:  19588-19590 | Citation Marker:  18 | Citation Offset:  19412-19597 | Citation Text:  Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations [18], [19] | Reference Offset:  ['32282-32507', '32509-32740', '32742-33155'] | Reference Text:  Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody ... Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity ... Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 6 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  24275-24296 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  24099-24314 | Citation Text:  In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['5637-6059', '7909-8187'] | Reference Text:  The most common IDH1/2 mutations in AML and brain tumors, affecting R132 of IDH1 or R140 and R172 of IDH2, have the common feature of acquiring a neomorphic enzymatic activity catalyzing the NADPH-dependent reduction of αKG to R(-)-2-hydroxyglutarate (2HG) ( Dang et al., 2009 and Ward et al., 2010). Presumably, it is the production of 2HG that provides a biological advantage that contributes to malignant transformation ... In this study, we tested the hypothesis that increased cellular 2HG levels induced by mutant IDH isoforms might contribute to malignant transformation by interfering with the normal cycle of DNA methylation and demethylation through inhibiting αKG-dependent enzymes such as TET2 | Discourse Facet:  Hypothesis_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 7 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  27883-27904 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  27579-27922 | Citation Text:  In addition to effects of Tet2 loss on self-renewal, we found that Tet2 loss led to progressive myeloproliferation in vivo. Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment (Figueroa et al., 2010; Ko et al., 2010) | Reference Offset:  ['43031-43476', '43625-43903'] | Reference Text:  We then assessed the effects of Tet2 knockdown or mutant IDH expression on the proportion of Lin-/Sca-1+/C-Kit+ (LSK) cells, which includes hematopoietic stem cells. We found that overexpression of IDH2 R140Q or knockdown of Tet2 in murine primary bone marrow cells grown in liquid culture for 5 days ex vivo demonstrated an increase in the percentage of LSK cells compared to control cells expressing empty vector or wild-type IDH2 ( Figure 7D) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  H, |

