Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['6093-6381', '23398-23894'] | Reference Text:  Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... Surprisingly, however, Bcl-2 overexpression did not prevent ABT-737-induced death (Figure 5C), even though its level was sufficient to inhibit Etoposide-induced apoptosis (Figure 5D). Thus, if Mcl-1 is inactivated, Bcl-2 overexpression does not diminish the cytotoxic activity of ABT-737, and Bcl-xL overexpression does so only moderately. This suggests that combining ABT-737 with strategies to inactivate Mcl-1 has therapeutic potential, even in the many tumors where Bcl-2 is markedly elevated | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1414_TRAIN | Citance Number: 2 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  3550-3555 | Citation Marker:  14-18 | Citation Offset:  3324-3556 | Citation Text:  Despite the promising preclinical studies supporting a critical role of Bcl-2 in chemoresistance, addition of anti-Bcl-2 antisense oligonucleotide therapies to standard chemotherapy was not correlated with a survival benefit [14-18] | Reference Offset:  ['5252-5576', '6093-6381', '33536-34030'] | Reference Text:  Most of the putative BH3 mimetics so far described, however, have an affinity for their presumed protein targets that is far lower than that of BH3-only proteins (Chen et al., 2005 and Petros et al., 2000), and the mechanism of their cytotoxic action is not well established (Baell and Huang, 2002 and Rutledge et al., 2002) ... Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... Six of the seven BH3 mimetic compounds tested at doses previously reported to be efficacious caused nonspecific toxicity, as they killed cells independently of Bax/Bak (Figure 1). Although these compounds bind Bcl-2-like proteins with low affinities, their predominant cytotoxic activity thus seems to be mediated through pathway(s) other than those regulated by Bcl-2. This nonspecific activity presumably would limit their therapeutic efficacy and potentially provoke undesirable side effects | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1414_TRAIN | Citance Number: 3 | Reference Article:  vanDelft.txt | Citing Article:  Deng.txt | Citation Marker Offset:  44307-44329 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  44116-44330 | Citation Text:  Recent work in model systems and acute myelogenous leukemia has suggested that expression of MCL-1 is a key determinant of resistance to ABT-737 (Konopleva et al., 2006, Lin et al., 2006 and van Delft et al., 2006) | Reference Offset:  ['1070-1340', '6550-6819', '41746-42226'] | Reference Text:  We show that this resistance reflects ABT-737's inability to target another prosurvival relative, Mcl-1. Downregulation of Mcl-1 by several strategies conferred sensitivity to ABT-737. Furthermore, enforced Mcl-1 expression in a mouse lymphoma model conferred resistance ... Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... Why is Mcl-1 downregulation so important for killing by ABT-737 or Bad? First, the rapid degradation of Mcl-1 following certain cytotoxic stimuli (Cuconati et al., 2003, Nijhawan et al., 2003 and Willis et al., 2005) (Figure 7 and Figure 8) may help to ensure irreversible commitment to apoptosis. Second, since Mcl-1 and Bcl-xL are the only prosurvival proteins that guard Bak (Willis et al., 2005), Mcl-1 is the only barrier to Bak-mediated apoptosis when ABT-737 engages Bcl-xL | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1414_TRAIN | Citance Number: 4 | Reference Article:  vanDelft.txt | Citing Article:  Ekoff.txt | Citation Marker Offset:  6300-6302 | Citation Marker:  18 | Citation Offset:  6163-6309 | Citation Text:  The cyclin-dependent kinase (CDK) inhibitor roscovitine has been reported to down-regulate the anti-apoptotic protein Mcl-1 [16], [17], [18], [19] | Reference Offset:  ['32515-33005', '39784-40223'] | Reference Text:  Notably, the cyclin-dependent kinase inhibitor Seliciclib (R-roscovitine/CYC202), now in phase II clinical trials, has recently been shown to act by blocking production of mcl-1 mRNA ( MacCallum et al., 2005 and Raje et al., 2005). Indeed, we found that both Seliciclib and the protein synthesis inhibitor cycloheximide (CHX) reduced Mcl-1 levels ( Figure 8C) and markedly boosted the action of ABT-737 in HeLa carcinoma cells ( Figure 8D) and modestly augmented it in MEFs (data not shown) ... The well tolerated cyclin-dependent kinase inhibitor Seliciclib (R-roscovitine/CYC202), currently in phase II clinical trials for non-small-cell lung cancer and breast tumors, is now thought to function by impairing RNA synthesis by RNA polymerase II, with mcl-1 mRNA being a key target because of its rapid turnover ( MacCallum et al., 2005 and Raje et al., 2005). Seliciclib showed notable synergy with ABT-737 in HeLa cells ( Figure 8D) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1414_TRAIN | Citance Number: 5 | Reference Article:  vanDelft.txt | Citing Article:  Hager.txt | Citation Marker Offset:  27404-27406 | Citation Marker:  43 | Citation Offset:  27161-27407 | Citation Text:  Recently, it has been reported that ABT-737 is not cytotoxic to all tumors cells, and that ìchemoresistanceî to ABT-737 is dependent on appreciable levels of Mcl-1 expression, the one Bcl-2 family member it does not effectively inhibit [42], [43] | Reference Offset:  ['968-1340', '6093-6819', '35822-36384'] | Reference Text:  Despite its high affinity for Bcl-2, Bcl-xL, and Bcl-w, many cell types proved refractory to ABT-737. We show that this resistance reflects ABT-737's inability to target another prosurvival relative, Mcl-1. Downregulation of Mcl-1 by several strategies conferred sensitivity to ABT-737. Furthermore, enforced Mcl-1 expression in a mouse lymphoma model conferred resistance ... Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... Significantly, the expression of mcl-1 and a1 mRNA is very low in most malignancies of those types (see the Gene Expression Omnibus repository at http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?CMD=search&DB=geo). On the other hand, in those tumors where Mcl-1 is the predominant survival protein, such as multiple myeloma ( Zhang et al., 2002), ABT-737 is unlikely to be effective as a single agent. Thus, the expression levels of prosurvival proteins, particularly Mcl-1 and A1, in individual tumors should be valuable prognostic markers for responses to ABT-737 | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1414_TRAIN | Citance Number: 6 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11353-11355 | Citation Marker:  28 | Citation Offset:  11267-11356 | Citation Text:  For the control simulation we used the ligand ABT-737, with an IC50 of 0.12 µM [10], [28] | Reference Offset:  ['5959-6091', '9702-10289', '37352-37656'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing ... In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online). Furthermore, direct binding studies using isothermal calorimetry confirmed tight stoichiometric (1:1) binding of ABT-737 to Bcl-xL (Figure S1B), akin to the binding of Bim (Figure S1C), whereas unlike Bim (Figure S1D) the drug did not bind Mcl-1 (Figure S1B) ... A striking but consistent finding was that ABT-737 sensitized cells overexpressing Bcl-2 to a much greater extent than those overexpressing Bcl-xL (Figure 5, Figure 7 and Figure 8; Figure S4), even though the affinity of ABT-737 for Bcl-2 and Bcl-xL is comparable (Figure S1A and Oltersdorf et al., 2005) | Discourse Facet:  Results_Citation | Annotator:  C, |
