Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['5959-6381', '23738-23894', '32081-32278'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... This suggests that combining ABT-737 with strategies to inactivate Mcl-1 has therapeutic potential, even in the many tumors where Bcl-2 is markedly elevated ... These results suggest that combining ABT-737 with selected cytokine antagonists in order to reduce Mcl-1 levels might be an effective strategy to eliminate Bcl-2-overexpressing malignancies in vivo | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 2 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  3550-3555 | Citation Marker:  14-18 | Citation Offset:  3324-3556 | Citation Text:  Despite the promising preclinical studies supporting a critical role of Bcl-2 in chemoresistance, addition of anti-Bcl-2 antisense oligonucleotide therapies to standard chemotherapy was not correlated with a survival benefit [14-18] | Reference Offset:  ['4374-4669', '5959-6381', '42979-43490'] | Reference Text:  Nevertheless, nearly all tumors retain the core apoptotic machinery. Therefore, there is great interest in the prospect of developing anticancer agents that directly target Bcl-2-like prosurvival proteins by mimicking the BH3 domain (Baell and Huang, 2002, Fesik, 2005 and Rutledge et al., 2002) ... ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... In conclusion, the present studies validate the feasibility of targeting Bcl-2-like proteins using BH3 mimetics such as ABT-737 to induce apoptosis (Oltersdorf et al., 2005). The mechanistic insights provided here suggest ways in which ABT-737 might be used efficaciously as a single agent and in combination therapy. They also identify Mcl-1 and A1 as likely prognostic markers for clinical responses and suggest that Mcl-1 upregulation or stabilization may well emerge as a mechanism of resistance to the drug | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 3 | Reference Article:  vanDelft.txt | Citing Article:  Deng.txt | Citation Marker Offset:  44307-44329 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  44116-44330 | Citation Text:  Recent work in model systems and acute myelogenous leukemia has suggested that expression of MCL-1 is a key determinant of resistance to ABT-737 (Konopleva et al., 2006, Lin et al., 2006 and van Delft et al., 2006) | Reference Offset:  ['6383-6627', '17081-17292', '26373-26656'] | Reference Text:  Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737 ... Even though Noxa targets both Mcl-1 and A1 (Chen et al., 2005), absence of the latter in many cell types (see below and Willis et al., 2005) points to Mcl-1 as an important predictor of responsiveness to ABT-737 ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 4 | Reference Article:  vanDelft.txt | Citing Article:  Ekoff.txt | Citation Marker Offset:  6300-6302 | Citation Marker:  18 | Citation Offset:  6163-6309 | Citation Text:  The cyclin-dependent kinase (CDK) inhibitor roscovitine has been reported to down-regulate the anti-apoptotic protein Mcl-1 [16], [17], [18], [19] | Reference Offset:  ['32515-32745', '39784-40148'] | Reference Text:  Notably, the cyclin-dependent kinase inhibitor Seliciclib (R-roscovitine/CYC202), now in phase II clinical trials, has recently been shown to act by blocking production of mcl-1 mRNA ( MacCallum et al., 2005 and Raje et al., 2005) ... The well tolerated cyclin-dependent kinase inhibitor Seliciclib (R-roscovitine/CYC202), currently in phase II clinical trials for non-small-cell lung cancer and breast tumors, is now thought to function by impairing RNA synthesis by RNA polymerase II, with mcl-1 mRNA being a key target because of its rapid turnover ( MacCallum et al., 2005 and Raje et al., 2005) | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 5 | Reference Article:  vanDelft.txt | Citing Article:  Hager.txt | Citation Marker Offset:  27404-27406 | Citation Marker:  43 | Citation Offset:  27161-27407 | Citation Text:  Recently, it has been reported that ABT-737 is not cytotoxic to all tumors cells, and that “chemoresistance” to ABT-737 is dependent on appreciable levels of Mcl-1 expression, the one Bcl-2 family member it does not effectively inhibit [42], [43] | Reference Offset:  ['5959-6381', '6550-6819', '9702-10029'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 6 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11353-11355 | Citation Marker:  28 | Citation Offset:  11163-11356 | Citation Text:  To model BCL-2 the crystal structure bound to the 43B peptide (BH3 mimic), pdb code 1YSW was used [27]. For the control simulation we used the ligand ABT-737, with an IC50 of 0.12 µM [10], [28] | Reference Offset:  ['9702-10029', '20330-20491'] | Reference Text:  In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) ... We therefore conclude that ABT-737 causes Bax/Bak activation indirectly, by binding tightly and selectively to Bcl-2, Bcl-xL, and Bcl-w ( Figure 2 and Figure S1) | Discourse Facet:  Method_Citation | Annotator:  D, |

