Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['3990-4372', '23096-23218', '36849-37050'] | Reference Text:  In many tumors, the capacity of the Bcl-2 family to remove damaged cells is subverted, either because a prosurvival family member is overexpressed (Cory et al., 2003), or because mutations in the p53 pathway ablate induction by p53 of the BH3-only proteins Puma and Noxa, which would otherwise trigger apoptosis (Jeffers et al., 2003, Shibue et al., 2003 and Villunger et al., 2003) ... Since tumors often overexpress Bcl-2 (Tsujimoto et al., 1985) or Bcl-xL, we also tested the impact of their overexpression ... ABT-737 is likely to be effective (Figure 5, Figure 6, Figure 7 and Figure 8; Figures S3 and S4) even in the presence of the very high levels of Bcl-2 or Bcl-xL found in many tumors (Cory et al., 2003) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 2 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  3550-3555 | Citation Marker:  14-18 | Citation Offset:  3324-3556 | Citation Text:  Despite the promising preclinical studies supporting a critical role of Bcl-2 in chemoresistance, addition of anti-Bcl-2 antisense oligonucleotide therapies to standard chemotherapy was not correlated with a survival benefit [14-18] | Reference Offset:  ['694-876', '27499-27745', '38341-38798'] | Reference Text:  Since apoptosis is impaired in malignant cells overexpressing prosurvival Bcl-2 proteins, drugs mimicking their natural antagonists, BH3-only proteins, might overcome chemoresistance ... As chemoresistance mediated by overexpression of Bcl-2 or Bcl-xL is a major clinical problem (Cory et al., 2003 and Kaufmann and Vaux, 2003), we also assessed whether the synergy persisted in FDC-P1 cells engineered to overexpress these guardians ... The potent sensitization observed here (Figure 7; Figure S4) and by others (Oltersdorf et al., 2005) suggests that combination therapy with ABT-737 should render genotoxic agents more effective at lower doses, potentially reducing undesirable collateral damage or ensuring more stable remissions with conventional doses. This approach could be particularly effective in overcoming the chemoresistance imparted by overexpression of Bcl-2 or Bcl-xL (Figure 7) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 3 | Reference Article:  vanDelft.txt | Citing Article:  Deng.txt | Citation Marker Offset:  44307-44329 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  44116-44455 | Citation Text:  Recent work in model systems and acute myelogenous leukemia has suggested that expression of MCL-1 is a key determinant of resistance to ABT-737 (Konopleva et al., 2006, Lin et al., 2006 and van Delft et al., 2006). It is indeed very plausible that high levels of MCL-1 expression are likely to render a cell resistant to ABT-737 treatment | Reference Offset:  ['1070-1340', '26373-26656', '36221-36846'] | Reference Text:  We show that this resistance reflects ABT-737's inability to target another prosurvival relative, Mcl-1. Downregulation of Mcl-1 by several strategies conferred sensitivity to ABT-737. Furthermore, enforced Mcl-1 expression in a mouse lymphoma model conferred resistance ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) ... Thus, the expression levels of prosurvival proteins, particularly Mcl-1 and A1, in individual tumors should be valuable prognostic markers for responses to ABT-737. In small-cell lung cancer cell lines, resistance to ABT-737 correlates with elevated Mcl-1 expression (C. Tse, S.K. Tahir, S. Fesik, S. Rosenberg, and S. Elmore, personal communication). Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation. Indeed, the efficacy of ABT-737 to prolong survival of mice transplanted with a lymphoma is severely compromised if Mcl-1 is overexpressed ( Figure 6) | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 4 | Reference Article:  vanDelft.txt | Citing Article:  Ekoff.txt | Citation Marker Offset:  6300-6302 | Citation Marker:  18 | Citation Offset:  6163-6309 | Citation Text:  The cyclin-dependent kinase (CDK) inhibitor roscovitine has been reported to down-regulate the anti-apoptotic protein Mcl-1 [16], [17], [18], [19] | Reference Offset:  ['30801-30875', '31403-31703', '32515-33005'] | Reference Text:  Figure 8. Alternative ways to target Mcl-1 and sensitize cells to ABT-737 ... C: The protein synthesis inhibitor cycloheximide (CHX) and the CDK inhibitor Seliciclib both reduce Mcl-1 expression. HeLa cells were treated with 50 μg/ml cycloheximide or 30 μM Seliciclib (R-roscovitine/CYC202) for 12 hr, and Mcl-1 expression was measured by immunoblotting (HSP70, loading control) ... Notably, the cyclin-dependent kinase inhibitor Seliciclib (R-roscovitine/CYC202), now in phase II clinical trials, has recently been shown to act by blocking production of mcl-1 mRNA ( MacCallum et al., 2005 and Raje et al., 2005). Indeed, we found that both Seliciclib and the protein synthesis inhibitor cycloheximide (CHX) reduced Mcl-1 levels ( Figure 8C) and markedly boosted the action of ABT-737 in HeLa carcinoma cells ( Figure 8D) and modestly augmented it in MEFs (data not shown) | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 5 | Reference Article:  vanDelft.txt | Citing Article:  Hager.txt | Citation Marker Offset:  27404-27406 | Citation Marker:  43 | Citation Offset:  26926-27589 | Citation Text:  Therapeutics that engage programmed cell death in tumor cells have promise for the treatment of cancer. Indeed compounds that broadly fall into this class have entered clinical development. ABT-737, a BH3 mimetic, is one example [41]. Recently, it has been reported that ABT-737 is not cytotoxic to all tumors cells, and that “chemoresistance” to ABT-737 is dependent on appreciable levels of Mcl-1 expression, the one Bcl-2 family member it does not effectively inhibit [42], [43]. Indeed, suppression of Mcl-1 protein levels by shRNA knockdown or indirect pharmacological downregulation sensitizes resistant tumor cells to ABT-737 mediated cell death [44], [45] | Reference Offset:  ['878-1253', '5959-6951', '26373-26656'] | Reference Text:  Of seven putative BH3 mimetics tested, only ABT-737 triggered Bax/Bak-mediated apoptosis. Despite its high affinity for Bcl-2, Bcl-xL, and Bcl-w, many cell types proved refractory to ABT-737. We show that this resistance reflects ABT-737's inability to target another prosurvival relative, Mcl-1. Downregulation of Mcl-1 by several strategies conferred sensitivity to ABT-737 ... ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression. These findings have notable implications for the ways potential drugs like ABT-737 might be used for treating patients with cancer ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 6 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11353-11355 | Citation Marker:  28 | Citation Offset:  11267-11356 | Citation Text:  For the control simulation we used the ligand ABT-737, with an IC50 of 0.12 µM [10], [28] | Reference Offset:  ['5850-5957', '34185-34366'] | Reference Text:  The exception was ABT-737, a recently described compound from Abbott Laboratories (Oltersdorf et al., 2005) ... Of the compounds tested, only ABT-737, developed by structure-based design and greatly improved by medicinal chemistry (Oltersdorf et al., 2005), acted like an authentic BH3 mimetic | Discourse Facet:  Method_Citation | Annotator:  E, |
