Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['36849-37050', '37352-37656'] | Reference Text:  ABT-737 is likely to be effective (Figure 5, Figure 6, Figure 7 and Figure 8; Figures S3 and S4) even in the presence of the very high levels of Bcl-2 or Bcl-xL found in many tumors (Cory et al., 2003) ... A striking but consistent finding was that ABT-737 sensitized cells overexpressing Bcl-2 to a much greater extent than those overexpressing Bcl-xL (Figure 5, Figure 7 and Figure 8; Figure S4), even though the affinity of ABT-737 for Bcl-2 and Bcl-xL is comparable (Figure S1A and Oltersdorf et al., 2005) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 2 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  3550-3555 | Citation Marker:  14-18 | Citation Offset:  3324-3556 | Citation Text:  Despite the promising preclinical studies supporting a critical role of Bcl-2 in chemoresistance, addition of anti-Bcl-2 antisense oligonucleotide therapies to standard chemotherapy was not correlated with a survival benefit [14-18] | Reference Offset:  ['38341-38660', '38662-38798'] | Reference Text:  The potent sensitization observed here (Figure 7; Figure S4) and by others (Oltersdorf et al., 2005) suggests that combination therapy with ABT-737 should render genotoxic agents more effective at lower doses, potentially reducing undesirable collateral damage or ensuring more stable remissions with conventional doses ... This approach could be particularly effective in overcoming the chemoresistance imparted by overexpression of Bcl-2 or Bcl-xL (Figure 7) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 3 | Reference Article:  vanDelft.txt | Citing Article:  Deng.txt | Citation Marker Offset:  44307-44329 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  44116-44330 | Citation Text:  Recent work in model systems and acute myelogenous leukemia has suggested that expression of MCL-1 is a key determinant of resistance to ABT-737 (Konopleva et al., 2006, Lin et al., 2006 and van Delft et al., 2006) | Reference Offset:  ['6629-6819'] | Reference Text:  Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 4 | Reference Article:  vanDelft.txt | Citing Article:  Ekoff.txt | Citation Marker Offset:  6300-6302 | Citation Marker:  18 | Citation Offset:  6163-6309 | Citation Text:  The cyclin-dependent kinase (CDK) inhibitor roscovitine has been reported to down-regulate the anti-apoptotic protein Mcl-1 [16], [17], [18], [19] | Reference Offset:  ['32562-32745', '32747-33005'] | Reference Text:  Seliciclib (R-roscovitine/CYC202), now in phase II clinical trials, has recently been shown to act by blocking production of mcl-1 mRNA ( MacCallum et al., 2005 and Raje et al., 2005) ... Indeed, we found that both Seliciclib and the protein synthesis inhibitor cycloheximide (CHX) reduced Mcl-1 levels ( Figure 8C) and markedly boosted the action of ABT-737 in HeLa carcinoma cells ( Figure 8D) and modestly augmented it in MEFs (data not shown) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 5 | Reference Article:  vanDelft.txt | Citing Article:  Hager.txt | Citation Marker Offset:  27404-27406 | Citation Marker:  43 | Citation Offset:  27161-27407 | Citation Text:  Recently, it has been reported that ABT-737 is not cytotoxic to all tumors cells, and that ìchemoresistanceî to ABT-737 is dependent on appreciable levels of Mcl-1 expression, the one Bcl-2 family member it does not effectively inhibit [42], [43] | Reference Offset:  ['6093-6160', '6550-6627', '6629-6819'] | Reference Text:  Nevertheless, with many cells, ABT-737 was not cytotoxic on its own ... Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737 ... Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 6 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11353-11355 | Citation Marker:  28 | Citation Offset:  11267-11356 | Citation Text:  For the control simulation we used the ligand ABT-737, with an IC50 of 0.12 µM [10], [28] | Reference Offset:  ['5959-6091', '20330-20491'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing ... We therefore conclude that ABT-737 causes Bax/Bak activation indirectly, by binding tightly and selectively to Bcl-2, Bcl-xL, and Bcl-w ( Figure 2 and Figure S1) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 7 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11467-11469 | Citation Marker:  28 | Citation Offset:  11366-11476 | Citation Text:  To model BCL-xL we used a crystal structure bound to a known inhibitor, ABT-737, with pdb code 2YXJ [28], [29] | Reference Offset:  ['9702-10029', '10031-10289'] | Reference Text:  In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) ... Furthermore, direct binding studies using isothermal calorimetry confirmed tight stoichiometric (1:1) binding of ABT-737 to Bcl-xL (Figure S1B), akin to the binding of Bim (Figure S1C), whereas unlike Bim (Figure S1D) the drug did not bind Mcl-1 (Figure S1B) | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 8 | Reference Article:  vanDelft.txt | Citing Article:  Jiao,Wu.txt | Citation Marker Offset:  3223-3225 | Citation Marker:  14 | Citation Offset:  3088-3231 | Citation Text:  So antagonizing anti-apoptotic members of Bcl-2 family to promote apoptosis is a good strategy for targeted anticancer drug discovery [14]ñ[16] | Reference Offset:  ['6629-6819', '6821-6951'] | Reference Text:  Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... These findings have notable implications for the ways potential drugs like ABT-737 might be used for treating patients with cancer | Discourse Facet:  Implication_Citation | Annotator:  G, |

