Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1464-2020 | Citation Text:  During the last decade, there have been significant efforts directed to reproduce the natural history of NSCLC in genetically engineered mouse (GEM) models (Heyer et al., 2010). Recently, these models have been utilized to evaluate potential therapeutic targets. Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['2837-3175', '41320-41421', '43824-43938'] | Reference Text:  To date, multiple Ras downstream effectors have been identified. It is generally accepted that the Raf/Mek/Erk cascade of kinases is the primary mediator of mitogenic activity (Marshall, 1994). Another well-known pathway, the PI3Kinase/Pdk/Akt pathway, is thought to mediate survival signals (Cully et al., 2006 and Engelman et al., 2006) ... K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases ... The immediate Ras downstream effectors within the Raf/Mek/Erk pathway are the Raf kinases, A-Raf, B-Raf, and c-Raf | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 2 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  28076-28095 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  27998-28118 | Citation Text:  It has recently been shown that Craf is essential for KrasG12D-induced NSCLC (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['24646-25708'] | Reference Text:  Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 3 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  39364-39383 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39253-39406 | Citation Text:  It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['24646-25708'] | Reference Text:  Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 4 | Reference Article:  Blasco.txt | Citing Article:  Klarenbeek.txt | Citation Marker Offset:  39159-39178 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39031-39179 | Citation Text:  Therapeutic targets may also be validated in GEMMs by monitoring the effect of genetic target inactivation on tumor regression (Blasco et al., 2011) | Reference Offset:  ['5057-5578'] | Reference Text:  We undertook the present study to systematically examine by genetic means the contribution of the Raf/Mek/Erk cascade of kinases in a mouse model of K-Ras-driven NSCLC ( Guerra et al., 2003). To this end, we have used strains of mice carrying mutations within loci encoding Raf, Mek, and Erk kinases to investigate whether they are essential for tumor development. The results described below provide information that might be used in the future to design targeted therapies to block K-RAS-induced NSCLC in human patients | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 5 | Reference Article:  Blasco.txt | Citing Article:  Kumar.txt | Citation Marker Offset:  66569-66588 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  66522-66589 | Citation Text:  Mice were given a tamoxifen diet as described (Blasco et al., 2011) | Reference Offset:  ['13249-13396'] | Reference Text:  Thirty-day-old Erk1−/−;Erk2lox/lox;RERTert/ert mice were fed ad libitum with a tamoxifen-containing diet to systemically excise the Erk2lox alleles | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 6 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13086-13105 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  12956-13128 | Citation Text:  cRaflox/lox/Braflox/lox	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Craf but not Braf is essential for KrasV12 induced tumors	(Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['21433-22990', '24646-25708'] | Reference Text:  Raf kinases—A-Raf, B-Raf, and c-Raf—do not have full compensatory activities during embryonic and early postnatal development (Galabova-Kovacs et al., 2006). To examine whether they also played unique roles during K-RasG12V-driven NSCLC, we crossed K-Ras+/G12V mice with B-Raflox/lox ( Chen et al., 2006) and c-Raflox/lox ( Jesenberger et al., 2001) animals and submitted them to infection with Ad-Cre particles. As illustrated in Figure 5A, conditional ablation of B-Raflox alleles in K-RasG12V-induced NSCLC did not increase survival (50% survival of K-Ras+/G12V;B-Raflox/lox mice [n = 25] at 41.5 versus 40 weeks in K-Ras+/G12V;B-Raf+/+ control animals [n = 28], a 5% increase). The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C). Efficient recombination of the B-Raflox alleles in tumor tissue was determined by Southern ( Figure S5) and western ( Figure 5D) blot analysis. Immunohistochemistry staining with an anti-B-Raf antibody further confirmed the absence of B-Raf expression in tumor tissue ( Figure 5E). Interestingly, elimination of B-Raf expression had no effect on the levels of Mek and Erk phosphorylation, as determined by either western blot ( Figure 5D) or immunohistochemical ( Figure 5E) analysis. These observations suggest that in the absence of B-Raf, other Raf proteins can maintain mitogenic signaling through the Mek/Erk pathway. This compensatory effect did not involve increased expression of the other Raf kinases ( Figure 5D) ... Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 7 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13279-13298 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13146-13299 | Citation Text:  ERK1−/−; ERK2lox/lox	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Only concomitant ablation of ERK1 and ERK2 impairs tumor growth	(Blasco et al., 2011) | Reference Offset:  ['10008-10934'] | Reference Text:  To evaluate the effect of eliminating both Erk kinases in K-RasG12V-driven tumors, we generated K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice and exposed their lungs to Ad-Cre infection. Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C). More importantly, all tumors tested (n = 6) displayed a prominent band corresponding to the nonrecombined Erk2lox allele and expressed normal levels of Erk2, indicating that these tumors were “escapers” ( Figure 2D). These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 8 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13434-13453 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13317-13454 | Citation Text:  Mek1lox/lox; Mek2−/−	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Mek1/2 are essential for KrasV12 induced tumors	(Blasco et al., 2011) | Reference Offset:  ['17301-18129'] | Reference Text:  To determine whether both Mek kinases were required for NSCLC, we exposed K-Ras+/G12V;Mek1lox/lox;Mek2−/− mice to Ad-Cre. These mice displayed significantly increased survival when compared with control K-Ras+/G12V;Mek1+/+;Mek2+/+ animals. Whereas the control cohort (n = 10) had a 50% survival rate of 33 weeks, K-Ras+/G12V;Mek1lox/lox;Mek2−/− mice (n = 14) had a 50% survival rate at 57 weeks ( Figure 4A), thus displaying an almost 100% increase in survival. As illustrated in the case of the Erk kinases, tumors present in K-Ras+/G12V;Mek1lox/lox;Mek2−/− mice examined 6 months after Ad-Cre treatment (n = 6) carried unrecombined Mek1lox alleles and expressed normal levels of Mek1 ( Figures 4B and 4C). These observations indicate that Mek1 expression was essential for tumor development in the absence of Mek2 ( Figure 4D) | Discourse Facet:  Results_Citation | Annotator:  B, |

