Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2008 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) | Reference Offset:  ['1685-1888', '1890-2256', '41320-41421'] | Reference Text:  Although K-RAS signals through a cascade of druggable kinases including the RAF, MEK1/2, and ERK1/2 kinases, to our knowledge, it is not known how these individual kinases contribute to tumor development ... Here, we demonstrate that ablation of Mek1/2 or Erk1/2 kinases completely prevents tumor development, although their systemic elimination is incompatible with adult life. In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 2 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  28076-28095 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  27998-28118 | Citation Text:  It has recently been shown that Craf is essential for KrasG12D-induced NSCLC (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['2061-2256', '25442-25708', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 3 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  39364-39383 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39253-39406 | Citation Text:  It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['2061-2256', '25442-25708', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 4 | Reference Article:  Blasco.txt | Citing Article:  Klarenbeek.txt | Citation Marker Offset:  39159-39178 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39031-39179 | Citation Text:  Therapeutic targets may also be validated in GEMMs by monitoring the effect of genetic target inactivation on tumor regression (Blasco et al., 2011) | Reference Offset:  ['5057-5420'] | Reference Text:  We undertook the present study to systematically examine by genetic means the contribution of the Raf/Mek/Erk cascade of kinases in a mouse model of K-Ras-driven NSCLC ( Guerra et al., 2003). To this end, we have used strains of mice carrying mutations within loci encoding Raf, Mek, and Erk kinases to investigate whether they are essential for tumor development | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 5 | Reference Article:  Blasco.txt | Citing Article:  Kumar.txt | Citation Marker Offset:  66569-66588 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  66522-66589 | Citation Text:  Mice were given a tamoxifen diet as described (Blasco et al., 2011) | Reference Offset:  ['12743-12975', '13249-13396'] | Reference Text:  Survival of Erk1+/+;Erk2+/+;RERTert/ert (open circles) and Erk1−/−;Erk2lox/lox;RERTert/ert (solid circles) mice fed ad libitum a tamoxifen-containing diet to activate the knocked in CreERT2 recombinase encoded by the RERTert alleles ... Thirty-day-old Erk1−/−;Erk2lox/lox;RERTert/ert mice were fed ad libitum with a tamoxifen-containing diet to systemically excise the Erk2lox alleles | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 6 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13086-13105 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13027-13128 | Citation Text:  Craf but not Braf is essential for KrasV12 induced tumors	(Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['2061-2256', '5057-5420', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... We undertook the present study to systematically examine by genetic means the contribution of the Raf/Mek/Erk cascade of kinases in a mouse model of K-Ras-driven NSCLC ( Guerra et al., 2003). To this end, we have used strains of mice carrying mutations within loci encoding Raf, Mek, and Erk kinases to investigate whether they are essential for tumor development ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Results_Citation | Annotator:  D, |
