Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2020 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['41320-41421', '42261-42427'] | Reference Text:  K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases ... Hence, limited inhibition of ERK kinase activity within a tolerated therapeutic window may provide a successful pharmacological approach to treat K-RAS-positive NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 2 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  28076-28095 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  27998-28118 | Citation Text:  It has recently been shown that Craf is essential for KrasG12D-induced NSCLC (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['25442-25708'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 3 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  39364-39383 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39253-39406 | Citation Text:  It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['25442-25708'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 4 | Reference Article:  Blasco.txt | Citing Article:  Klarenbeek.txt | Citation Marker Offset:  39159-39178 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39031-39179 | Citation Text:  Therapeutic targets may also be validated in GEMMs by monitoring the effect of genetic target inactivation on tumor regression (Blasco et al., 2011) | Reference Offset:  ['5057-5247', '5249-5420', '5422-5578'] | Reference Text:  We undertook the present study to systematically examine by genetic means the contribution of the Raf/Mek/Erk cascade of kinases in a mouse model of K-Ras-driven NSCLC ( Guerra et al., 2003) ... To this end, we have used strains of mice carrying mutations within loci encoding Raf, Mek, and Erk kinases to investigate whether they are essential for tumor development ... The results described below provide information that might be used in the future to design targeted therapies to block K-RAS-induced NSCLC in human patients | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 5 | Reference Article:  Blasco.txt | Citing Article:  Kumar.txt | Citation Marker Offset:  66569-66588 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  66522-66589 | Citation Text:  Mice were given a tamoxifen diet as described (Blasco et al., 2011) | Reference Offset:  ['12743-12975', '20168-20331'] | Reference Text:  Survival of Erk1+/+;Erk2+/+;RERTert/ert (open circles) and Erk1-/-;Erk2lox/lox;RERTert/ert (solid circles) mice fed ad libitum a tamoxifen-containing diet to activate the knocked in CreERT2 recombinase encoded by the RERTert alleles ... To examine whether Mek kinase activity was essential for adult homeostasis, Mek1lox/lox;Mek2-/-;RERTert/ert mice were exposed to a tamoxifen diet at 30 days of age | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 6 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13086-13105 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13027-13128 | Citation Text:  Craf but not Braf is essential for KrasV12 induced tumors	(Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['23027-23087'] | Reference Text:  B-Raf Is Not Required for K-Ras+/G12V-Induced NSCLCs in Mice | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 7 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13279-13298 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13214-13299 | Citation Text:  Only concomitant ablation of ERK1 and ERK2 impairs tumor growth	(Blasco et al., 2011) | Reference Offset:  ['10277-10441', '10443-10621', '10840-10934'] | Reference Text:  Instead, the 50% survival point for K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival ... When we examined K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 8 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13434-13453 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13385-13454 | Citation Text:  Mek1/2 are essential for KrasV12 induced tumors	(Blasco et al., 2011) | Reference Offset:  ['17763-18007', '18009-18129'] | Reference Text:  As illustrated in the case of the Erk kinases, tumors present in K-Ras+/G12V;Mek1lox/lox;Mek2-/- mice examined 6 months after Ad-Cre treatment (n = 6) carried unrecombined Mek1lox alleles and expressed normal levels of Mek1 ( Figures 4B and 4C) ... These observations indicate that Mek1 expression was essential for tumor development in the absence of Mek2 ( Figure 4D) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 9 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18737-18756 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['25442-25708'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 10 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18797-18816 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18780-18817 | Citation Text:  but not on Braf (Blasco et al., 2011) | Reference Offset:  ['23027-23087', '25442-25708'] | Reference Text:  B-Raf Is Not Required for K-Ras+/G12V-Induced NSCLCs in Mice ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 11 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18947-18966 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18819-18967 | Citation Text:  Furthermore, ablation of both Erk1 and Erk2 impaired tumor development, whereas inactivation of either one alone had no effect (Blasco et al., 2011) | Reference Offset:  ['10277-10621', '10840-10934'] | Reference Text:  Instead, the 50% survival point for K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 12 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  14550-14569 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  14222-14615 | Citation Text:  Although these data do not exclude a potential role for wild-type BRAF in mediating the rebound in ERK phosphorylation in KRAS mutant cells, they suggest that CRAF is required for the pERK rebound and are consistent with reports that CRAF is the main RAF isoform responsible for driving ERK signaling in some RAS mutant tumors (Blasco et al., 2011, Dumaz et al., 2006 and Karreth et al., 2011) | Reference Offset:  ['22753-22889', '27115-27183', '44420-44488'] | Reference Text:  These observations suggest that in the absence of B-Raf, other Raf proteins can maintain mitogenic signaling through the Mek/Erk pathway ... These results indicate that c-Raf is essential for tumor development ... Thus, neither B-Raf nor A-Raf could compensate for the lack of c-Raf | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 13 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  2733-2752 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  2612-2826 | Citation Text:  Active RAS mediates its effects on tumor formation through a number of effector proteins, including RAF, PI3K, and RAL ( Blasco et al., 2011, Gonz·lez-GarcÌa et al., 2005, Gupta et al., 2007 and Kolch et al., 1991) | Reference Offset:  ['4032-4167', '35456-35592', '43824-43938'] | Reference Text:  Genetic studies in mouse models of NSCLC ( Johnson et al., 2001) have indicated that K-Ras may signal through the PI3Kinase/Akt pathway ... Inhibition of c-Raf expression partially decreased but did not eliminate proliferation of K-RasG12V-expressing primary MEFs ( Figure 8B) ... The immediate Ras downstream effectors within the Raf/Mek/Erk pathway are the Raf kinases, A-Raf, B-Raf, and c-Raf | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 14 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  41874-41893 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  41751-41894 | Citation Text:  CRAF knockdown may enhance the antitumor effects of MEK inhibition by inhibiting other targets of RAF in addition to MEK ( Blasco et al., 2011) | Reference Offset:  ['25442-25708', '46215-46413'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... If c-Raf mediates K-RasG12V signaling via protein-protein interaction with Rok or other substrates, therapeutic intervention will require strategies other than inhibition of c-Raf catalytic activity | Discourse Facet:  Discussion_Citation | Annotator:  G, |

