Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2020 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['2837-3029', '3031-3175'] | Reference Text:  To date, multiple Ras downstream effectors have been identified. It is generally accepted that the Raf/Mek/Erk cascade of kinases is the primary mediator of mitogenic activity (Marshall, 1994) ... Another well-known pathway, the PI3Kinase/Pdk/Akt pathway, is thought to mediate survival signals (Cully et al., 2006 and Engelman et al., 2006) | Discourse Facet:  Implication_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 2 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  28076-28095 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  27998-28118 | Citation Text:  It has recently been shown that Craf is essential for KrasG12D-induced NSCLC (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['25442-25708', '44728-44855'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 3 | Reference Article:  Blasco.txt | Citing Article:  Eser.txt | Citation Marker Offset:  39364-39383 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39253-39406 | Citation Text:  It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer (Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['25442-25708', '44728-44855'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 4 | Reference Article:  Blasco.txt | Citing Article:  Klarenbeek.txt | Citation Marker Offset:  39159-39178 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39031-39179 | Citation Text:  Therapeutic targets may also be validated in GEMMs by monitoring the effect of genetic target inactivation on tumor regression (Blasco et al., 2011) | Reference Offset:  ['5422-5578', '44322-44418'] | Reference Text:  The results described below provide information that might be used in the future to design targeted therapies to block K-RAS-induced NSCLC in human patients ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 5 | Reference Article:  Blasco.txt | Citing Article:  Kumar.txt | Citation Marker Offset:  66569-66588 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  66522-66650 | Citation Text:  Mice were given a tamoxifen diet as described (Blasco et al., 2011). Further details are in the Extended Experimental Procedures | Reference Offset:  ['12743-12975', '19883-20131', '27393-27540'] | Reference Text:  Survival of Erk1+/+;Erk2+/+;RERTert/ert (open circles) and Erk1-/-;Erk2lox/lox;RERTert/ert (solid circles) mice fed ad libitum a tamoxifen-containing diet to activate the knocked in CreERT2 recombinase encoded by the RERTert alleles ... Survival of Mek1+/+;Mek2+/+;RERTert/ert (n = 6) (open circles) and Mek1lox/lox;Mek2-/-;RERTert/ert (n = 6) (solid circles) mice fed ad libitum a tamoxifen-containing diet to activate the knocked in CreERT2 recombinase encoded by the RERTert alleles ... To ascertain whether c-Raf expression was required for adult tissues, we fed 30-day-old c-Raflox/lox;RERTert/ert mice a tamoxifen diet for 3 months | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 6 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13086-13105 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  12956-13128 | Citation Text:  cRaflox/lox/Braflox/lox	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Craf but not Braf is essential for KrasV12 induced tumors	(Blasco et al., 2011; Karreth et al., 2011) | Reference Offset:  ['22115-22266', '25442-25708', '44322-44418'] | Reference Text:  The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 7 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13279-13298 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13146-13299 | Citation Text:  ERK1-/-; ERK2lox/lox	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Only concomitant ablation of ERK1 and ERK2 impairs tumor growth	(Blasco et al., 2011) | Reference Offset:  ['10008-10441', '10840-10934', '41711-41936'] | Reference Text:  To evaluate the effect of eliminating both Erk kinases in K-RasG12V-driven tumors, we generated K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice and exposed their lungs to Ad-Cre infection. Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival ... These observations indicate that Erk2 is required for tumor development in the absence of Erk1 ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 8 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13434-13453 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13317-13454 | Citation Text:  Mek1lox/lox; Mek2-/-	Ad5-CMV-cre or Cre-ERT2 (RERT-ert) + Tamoxifen	Mek1/2 are essential for KrasV12 induced tumors	(Blasco et al., 2011) | Reference Offset:  ['21029-21380', '42494-42596', '42883-42962'] | Reference Text:  Even limited ablation of Mek alleles resulted in significant alterations of the normal architecture, including distorted crypts, blunted and shorter villi, increased lamina propria, and goblet cell hyperplasia. Likewise, the colonic tissue of Mek1lox/lox;Mek2-/-;RERTert/ert mice displayed loss as well as severe shortening of the crypts ( Figure S4B) ... Both Mek1 and Mek2 efficiently sustained K-Ras oncogenic signaling in the absence of the other isoform ... Moreover, complete loss of Mek kinases prevented K-Ras-driven NSCLC development | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 9 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18737-18756 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['22115-22266', '25442-25708', '44322-44488'] | Reference Text:  The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development. Thus, neither B-Raf nor A-Raf could compensate for the lack of c-Raf | Discourse Facet:  Results_Citation | Annotator:  H, |

