Topic ID: D1416_TRAIN | Citance Number: 1 | Reference Article:  Zhao,Wang.txt | Citing Article:  Downs.txt | Citation Marker Offset:  40972-40988 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  40756-40988 | Citation Text:  It is interesting to point out that the Arp4 homolog in mammals, Baf53, is present in both the Tip60/NuA4 HAT, SWI/SNF, and other ATP-dependent chromatin remodeling complexes Doyon et al. 2004, Ikura et al. 2000 and Zhao et al. 1998 | Reference Offset:  ['38634-38758'] | Reference Text:  One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 2 | Reference Article:  Zhao,Wang.txt | Citing Article:  Fuchs.txt | Citation Marker Offset:  18252-18268 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  18001-18268 | Citation Text:  Similar analysis further revealed two other ∼50 kDa proteins to be actin and the actin-like protein, BAF53 (Figure 4D), also components of the TIP60 complex and generic components of some SWI/SNF complexes Cairns et al. 1998, Peterson et al. 1998 and Zhao et al. 1998 | Reference Offset:  ['25955-26166', '28563-28698'] | Reference Text:  These experiments demonstrate that actin and BAF53 directly interact with BRG1 in the BAF complex in vitro, since the cross-linking was sufficiently inefficient to detect interactions mediated by a third protein ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 3 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  16188-16204 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  16068-16205 | Citation Text:  BAF53 and β-actin subunits have been implicated in mammalian SWI/SNF-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['25955-26166', '28563-28698'] | Reference Text:  These experiments demonstrate that actin and BAF53 directly interact with BRG1 in the BAF complex in vitro, since the cross-linking was sufficiently inefficient to detect interactions mediated by a third protein ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 4 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  31246-31262 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  31071-31263 | Citation Text:  In addition, Arp4-related BAF53 and β-actin are components of the human SWI/SNF complex and could play a role in its signal-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['39562-39815'] | Reference Text:  The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 5 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  5169-5185 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  5099-5227 | Citation Text:  Cellular actin, Act1, a protein recently found in mammalian SWI/SNF ( Zhao et al. 1998), is also a component of the NuA4 complex | Reference Offset:  ['20400-20617'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 6 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  9698-9714 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  9568-9715 | Citation Text:  β-actin has been shown to be a subunit of mammalian SWI/SNF and could be required for its regulation and targeting to chromatin ( Zhao et al. 1998) | Reference Offset:  ['38470-38632', '39562-39815', '41335-41656'] | Reference Text:  Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits ... Our findings that BAF complexes are capable of chromatin remodeling in vitro (Wang et al. 1996a), contain actin and actin-related proteins, and are rapidly targeted to chromatin and the nuclear scaffold or matrix by a PIP2-dependent mechanism define a direct interface between chromatin regulation and signal transduction | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 7 | Reference Article:  Zhao,Wang.txt | Citing Article:  Gozani.txt | Citation Marker Offset:  2980-2997 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2847-3088 | Citation Text:  For example, PtdIns(4,5)P2 induces association of the SWI/SNF-like BAF complex with chromatin in T cells during antigen stimulation (Zhao et al., 1998) and likely has a role in pre-mRNA splicing Boronenkov et al. 1998 and Osborne et al. 2001 | Reference Offset:  ['6513-6690'] | Reference Text:  However, within 10 min of stimulation with an antibody to the antigen receptor nearly 90% of the BAF complex became tightly associated with the nucleus (Figure 1A and Figure 1B) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 8 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14098-14100 | Citation Marker:  47 | Citation Offset:  13979-14108 | Citation Text:  β-actin and actin-related proteins have been found in the various ATP-dependent chromatin remodeling complexes (4, 28, 47 and 34) | Reference Offset:  ['20400-20617', '25955-26166', '38470-38632'] | Reference Text:  These results definitively demonstrate that ~-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... These experiments demonstrate that actin and BAF53 directly interact with BRG1 in the BAF complex in vitro, since the cross-linking was sufficiently inefficient to detect interactions mediated by a third protein ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 9 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14235-14251 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14110-14252 | Citation Text:  As reported here for the TIP60 complex, both β-actin and BAF53 have been identified in the BAF chromatin-remodeling complex (Zhao et al. 1998) | Reference Offset:  ['39562-39815'] | Reference Text:  The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 10 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14682-14698 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14534-14699 | Citation Text:  β-actin and actin-related proteins appear to have weak ATPase activities, which contribute ∼1% of the total activity in the BAF remodeling complex (Zhao et al. 1998) | Reference Offset:  ['33689-33795'] | Reference Text:  Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 11 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14899-14915 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14701-14916 | Citation Text:  Results of experiments using the actin monomer sequestering product latrunculin B suggest that β-actin and BAF53 are required for stimulation of the ATPase activity of the BAF complex by chromatin (Zhao et al. 1998) | Reference Offset:  ['33898-34067'] | Reference Text:  These results indicate that Latrunculin B blocks the activated ATPase activity of the BAF complex by interfering with the actions of actin on the ATPase activity of BRG1 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 12 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  15782-15798 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  15592-15799 | Citation Text:  We assumed that this ATPase activity in the TIP60 complex is derived mainly from TAP54α and β because β-actin and actin-related proteins themselves appear to have very weak ATPase activity (Zhao et al. 1998) | Reference Offset:  ['33689-33795', '33797-33896'] | Reference Text:  Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro ... Furthermore, the ATPase activity of β-actin was not stimulated by DNA or chromatin (data not shown) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 13 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  10055-10057 | Citation Marker:  25 | Citation Offset:  9882-10058 | Citation Text:  Similarly, there is probably only one actin molecule required in the large chromatin remodeling complexes that activate transcription in mammals after receptor stimulation [25] | Reference Offset:  ['39562-39815'] | Reference Text:  The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 14 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  4598-4600 | Citation Marker:  25 | Citation Offset:  4585-4601 | Citation Text:  Lymphocytes	[25] | Reference Offset:  ['38470-38632'] | Reference Text:  Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 15 | Reference Article:  Zhao,Wang.txt | Citing Article:  Oh.txt | Citation Marker Offset:  17549-17566 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  17300-17567 | Citation Text:  In fact, among SWI/SNF family chromatin remodelers, the hBAF (Brg1-associated factors) complex is known to be targeted to the nuclear matrix/chromatin through direct interaction with nuclear PIP2 and actin/actin-related protein (Rando et al., 2002; Zhao et al., 1998) | Reference Offset:  ['13745-13872'] | Reference Text:  We conclude from these results that the BAF complex interacts with chromatin in nuclei and this interaction is enhanced by PIP2 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 16 | Reference Article:  Zhao,Wang.txt | Citing Article:  Phelan.txt | Citation Marker Offset:  3123-3125 | Citation Marker:  32 | Citation Offset:  2922-3126 | Citation Text:  In addition, the Drosophila and human complexes all contain subunits that are homologs of SWI3, SNF5, SWP73, and the recently identified RSC and ySWI/SNF subunits ARP7 and ARP9 ( 16, 28, 5, 17, 20 and 32) | Reference Offset:  ['3825-4073', '38470-38632', '38634-38758'] | Reference Text:  In addition to the SWI/SNF and BAF complexes, several related chromatin remodeling complexes have been found in higher eukaryotes, including NURF ( Tsukiyama and Wu 1995), Chrac ( Varga-Weisz et al. 1997), and ACF ( Ito et al. 1997) from Drosophila ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 17 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  2658-2675 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2497-2676 | Citation Text:  The mammalian Arp, BAF53 (BRG-associated factor), and β-actin were initially found as components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex (Zhao et al., 1998) | Reference Offset:  ['28563-28698', '38634-38758'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 18 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  29150-29167 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  28994-29288 | Citation Text:  However, the discovery of actin as a component of the mammalian BAF chromatin-remodeling complex in tight association with the SWI2/SNF2-like BRG1 protein (Zhao et al., 1998) and its presence in other chromatin-remodeling complexes has spurred renewed interest in the functions of nuclear actin | Reference Offset:  ['28563-28698'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1416_TRAIN | Citance Number: 19 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  4896-4912 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  4712-4912 | Citation Text:  In addition, there is evidence suggesting that actin can modulate the ATPase activity and binding of the mammalian BAF complex to chromatin or the nuclear matrix Rando et al. 2002 and Zhao et al. 1998 | Reference Offset:  ['33689-33795', '38634-38758', '38760-38811'] | Reference Text:  Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  G, |

