Topic ID: D1416_TRAIN | Citance Number: 1 | Reference Article:  Zhao,Wang.txt | Citing Article:  Downs.txt | Citation Marker Offset:  40972-40988 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  40756-40988 | Citation Text:  It is interesting to point out that the Arp4 homolog in mammals, Baf53, is present in both the Tip60/NuA4 HAT, SWI/SNF, and other ATP-dependent chromatin remodeling complexes Doyon et al. 2004, Ikura et al. 2000 and Zhao et al. 1998 | Reference Offset:  ['3391-3639', '28416-28698', '40884-41242'] | Reference Text:  Furthermore, a group of proteins tightly associated with BRG1 and hBRM called BAFs (BRG or Brm associated factors) are related to subunits of the yeast SWI/SNF complex ( 37 and 38). The subunits of the mammalian complex are encoded by gene families ... However, the BAF57 and BAF53 signals were only detected in the nuclear matrix preparations where BRG1 was detected (Figure 7B, panels labeled NM). We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... The observation that the mSWI/SNF or BAF complex becomes stably associated with chromatin within 10 min of antigen receptor stimulation strongly indicates that neither protein synthesis nor new gene activation is required for targeting the complexes, since no detectable increase in transcription or protein synthesis is seen before this time (Crabtree 1989) | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 2 | Reference Article:  Zhao,Wang.txt | Citing Article:  Fuchs.txt | Citation Marker Offset:  18252-18268 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  18001-18268 | Citation Text:  Similar analysis further revealed two other ∼50 kDa proteins to be actin and the actin-like protein, BAF53 (Figure 4D), also components of the TIP60 complex and generic components of some SWI/SNF complexes Cairns et al. 1998, Peterson et al. 1998 and Zhao et al. 1998. | Reference Offset:  ['3391-3639', '40884-41242', '41658-41828'] | Reference Text:  Furthermore, a group of proteins tightly associated with BRG1 and hBRM called BAFs (BRG or Brm associated factors) are related to subunits of the yeast SWI/SNF complex ( 37 and 38). The subunits of the mammalian complex are encoded by gene families ... The observation that the mSWI/SNF or BAF complex becomes stably associated with chromatin within 10 min of antigen receptor stimulation strongly indicates that neither protein synthesis nor new gene activation is required for targeting the complexes, since no detectable increase in transcription or protein synthesis is seen before this time (Crabtree 1989) ... While actin is a likely candidate to mediate the targeting of BAF complexes to chromatin/nuclear matrix, additional studies will be essential to demonstrate this directly | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 3 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  16188-16204 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  16068-16205 | Citation Text:  BAF53 and β-actin subunits have been implicated in mammalian SWI/SNF-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['20400-20617', '38470-38811'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 4 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  31246-31262 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  31071-31263 | Citation Text:  In addition, Arp4-related BAF53 and β-actin are components of the human SWI/SNF complex and could play a role in its signal-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['20400-20617', '38470-38811'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 5 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  5169-5185 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  5099-5227 | Citation Text:  Cellular actin, Act1, a protein recently found in mammalian SWI/SNF ( Zhao et al. 1998), is also a component of the NuA4 complex | Reference Offset:  ['14215-14605', '19231-19827', '41335-41656'] | Reference Text:  Based on the four peptide sequences obtained from the 53 kDa subunit, a cDNA clone encoding 429 amino acids was isolated. BAF53 shows extensive homology with actin and actin-related proteins Act2 and Act3. In addition, after we completed this work, the yeast genome project was completed, revealing two open reading frames in yeast, YPR034w and YMR033w ( Figure 3A), encoding BAF53 homologs ... Actin was coimmunoprecipitated by all of the antibodies against subunits of the BAF complex (lanes 1, 2, and 3), but not by antibodies to other nuclear proteins (lanes 4, 5, 6, and 7). To more rigorously examine the presence of β-actin in the BAF complex, we used a cell line stably transfected with HA-tagged BAF57. The HA antibody immunoprecipitated actin only from the nuclear extracts derived from the HA BAF57 cell line but not from its parent cell line (compare lanes 8 and 9 in Figure 4B). Using antibodies to hISWI/hSNF2L, we found no evidence of actin in these complexes (data not shown) ... Our findings that BAF complexes are capable of chromatin remodeling in vitro (Wang et al. 1996a), contain actin and actin-related proteins, and are rapidly targeted to chromatin and the nuclear scaffold or matrix by a PIP2-dependent mechanism define a direct interface between chromatin regulation and signal transduction | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 6 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  9698-9714 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  9464-9715 | Citation Text:  The peptides cover 54% of the 375 amino acid protein, which has a predicted molecular mass of 41.7 kDa. β-actin has been shown to be a subunit of mammalian SWI/SNF and could be required for its regulation and targeting to chromatin ( Zhao et al. 1998) | Reference Offset:  ['20400-20617', '41335-41656'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Our findings that BAF complexes are capable of chromatin remodeling in vitro (Wang et al. 1996a), contain actin and actin-related proteins, and are rapidly targeted to chromatin and the nuclear scaffold or matrix by a PIP2-dependent mechanism define a direct interface between chromatin regulation and signal transduction | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 7 | Reference Article:  Zhao,Wang.txt | Citing Article:  Gozani.txt | Citation Marker Offset:  2980-2997 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2747-3088 | Citation Text:  Moreover, functional evidence has emerged that PtdInsPs can modulate a number of nuclear processes. For example, PtdIns(4,5)P2 induces association of the SWI/SNF-like BAF complex with chromatin in T cells during antigen stimulation (Zhao et al., 1998) and likely has a role in pre-mRNA splicing Boronenkov et al. 1998 and Osborne et al. 2001 | Reference Offset:  ['6513-6690', '9036-9191'] | Reference Text:  However, within 10 min of stimulation with an antibody to the antigen receptor nearly 90% of the BAF complex became tightly associated with the nucleus (Figure 1A and Figure 1B) ... However, the combination of the two was as good as stimulation through the T cell receptor at inducing the association of BAFs with the nucleus (Figure 1E) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 8 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14098-14100 | Citation Marker:  47 | Citation Offset:  13765-14108 | Citation Text:  Moreover, MS/MS spectrometric analysis indicated the 45 and 50 kDa bands as two additional ATP binding proteins, β-actin and the actin-related protein BAF53 (53 kDa BRG1/human BRM-associated factor), respectively. β-actin and actin-related proteins have been found in the various ATP-dependent chromatin remodeling complexes (4, 28, 47 and 34) | Reference Offset:  ['18737-18991', '38470-38811'] | Reference Text:  The 200 kDa band reacted with BRG1 antisera, while the lower band comigrated with actin and reacted with antibodies to β-actin. The bands labeled with the asterisk bound to the beads nonspecifically. Notably, BAF53 did not bind azido-γ-32P-ATP (Figure 4) ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 9 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14235-14251 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14110-14252 | Citation Text:  As reported here for the TIP60 complex, both β-actin and BAF53 have been identified in the BAF chromatin-remodeling complex (Zhao et al. 1998) | Reference Offset:  ['20400-20617', '25955-26166', '28416-28698'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... These experiments demonstrate that actin and BAF53 directly interact with BRG1 in the BAF complex in vitro, since the cross-linking was sufficiently inefficient to detect interactions mediated by a third protein ... However, the BAF57 and BAF53 signals were only detected in the nuclear matrix preparations where BRG1 was detected (Figure 7B, panels labeled NM). We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Results_Citation | Annotator:  H, |

