Topic ID: D1416_TRAIN | Citance Number: 1 | Reference Article:  Zhao,Wang.txt | Citing Article:  Downs.txt | Citation Marker Offset:  40972-40988 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  40756-40988 | Citation Text:  It is interesting to point out that the Arp4 homolog in mammals, Baf53, is present in both the Tip60/NuA4 HAT, SWI/SNF, and other ATP-dependent chromatin remodeling complexes Doyon et al. 2004, Ikura et al. 2000 and Zhao et al. 1998 | Reference Offset:  ['28563-28698', '38634-38758', '39562-39761'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 2 | Reference Article:  Zhao,Wang.txt | Citing Article:  Fuchs.txt | Citation Marker Offset:  18252-18268 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  18001-18268 | Citation Text:  Similar analysis further revealed two other ∼50 kDa proteins to be actin and the actin-like protein, BAF53 (Figure 4D), also components of the TIP60 complex and generic components of some SWI/SNF complexes Cairns et al. 1998, Peterson et al. 1998 and Zhao et al. 1998 | Reference Offset:  ['28563-28698', '37040-37113', '39562-39761'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... β-Actin and the Actin-Related Protein BAF53 Are Subunits of BAF Complexes ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 3 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  16188-16204 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  16068-16205 | Citation Text:  BAF53 and β-actin subunits have been implicated in mammalian SWI/SNF-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['28563-28698', '38634-38758', '39562-39815'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 4 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  31246-31262 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  31071-31263 | Citation Text:  In addition, Arp4-related BAF53 and β-actin are components of the human SWI/SNF complex and could play a role in its signal-regulated binding to the chromatin/nuclear matrix (Zhao et al. 1998) | Reference Offset:  ['28563-28698', '38634-38758', '39562-39815'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 5 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  5169-5185 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  5099-5186 | Citation Text:  Cellular actin, Act1, a protein recently found in mammalian SWI/SNF ( Zhao et al. 1998) | Reference Offset:  ['17746-17785', '20400-20617', '20760-20985'] | Reference Text:  β-Actin Is a Subunit of the BAF Complex ... These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Quantitation using specific antibodies to actin revealed that there is about one actin molecule per BAF complex and that about 3% of the nuclear actin and about 0.03% of total cellular actin is associated with the BAF complex | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 6 | Reference Article:  Zhao,Wang.txt | Citing Article:  Galarneau.txt | Citation Marker Offset:  9698-9714 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  9568-9715 | Citation Text:  β-actin has been shown to be a subunit of mammalian SWI/SNF and could be required for its regulation and targeting to chromatin ( Zhao et al. 1998) | Reference Offset:  ['20400-20617', '20760-20985', '28563-28698'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Quantitation using specific antibodies to actin revealed that there is about one actin molecule per BAF complex and that about 3% of the nuclear actin and about 0.03% of total cellular actin is associated with the BAF complex ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Results_Citation | Annotator:  I, |
