Topic ID: D1417_TRAIN | Citance Number: 1 | Reference Article:  Bos.txt | Citing Article:  Araujo-Palomares.txt | Citation Marker Offset:  4281-4282 | Citation Marker:  3 | Citation Offset:  4013-4283 | Citation Text:  Rho guanine nucleotide exchange factors (RhoGEFs) and Rho GTPase-activating proteins (RhoGAPs) enhance nucleotide binding and hydrolysis of Rho GTPases, respectively, and are increasingly acknowledged as crucial determinants of spatio­temporal Rho signaling activity [3] | Reference Offset:  ['1135-1605', '1830-2071'] | Reference Text:  Small G proteins are typically between 20–25 kDa in size and cycle between an inactive GDP-bound conformation and an active GTP-bound conformation. In their active conformation G proteins interact with effector proteins, which induce downstream signaling events. The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... For a subset of small G proteins (mainly for Rab and Rho proteins) guanine nucleotide-dissociation inhibitors provide an additional level of control. These proteins remove small G proteins from membranes by sequestration of their lipid tails | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1417_TRAIN | Citance Number: 2 | Reference Article:  Bos.txt | Citing Article:  Bar-Peled.txt | Citation Marker Offset:  24707-24723 | Citation Marker:  Bos et al., 2007 | Citation Offset:  24595-24736 | Citation Text:  A characteristic of GEFs is their strong preference for binding nucleotide-free over nucleotide-loaded GTPases (Bos et al., 2007; Feig, 1999) | Reference Offset:  ['6833-8002'] | Reference Text:  GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced. In general the affinity of the G protein for GTP and GDP is similar, and the GEF does not favor rebinding of GDP or GTP. Thus the resulting increase in GTP-bound over GDP-bound is due to the approximately ten times higher cellular concentration of GTP compared to GDP. As shown first for the interaction between the RanGEF RCC1 and Ran the affinities of the binary complexes between the G protein and either the nucleotide or its GEF are very high. In contrast, the affinities of the exchange factor for the nucleotide-bound G protein and of the nucleotide for the exchange-factor-bound G protein (the ternary complexes) are much lower (Vetter and Wittinghofer, 2001). Thus, the interaction of a GEF weakens the affinity for the nucleotide, and visa versa, the nucleotide weakens the affinity for the GEF. In the course of the exchange reaction the GEF displaces the bound nucleotide, and subsequently a new nucleotide displaces the GEF (Figure 2A) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1417_TRAIN | Citance Number: 3 | Reference Article:  Bos.txt | Citing Article:  Bill.txt | Citation Marker Offset:  4855-4871 | Citation Marker:  Bos et al., 2007 | Citation Offset:  4761-4872 | Citation Text:  As in the case of other small GTPases, ARF function critically depends on activation by GEFs (Bos et al., 2007) | Reference Offset:  ['39309-40635'] | Reference Text:  ArfGEFs can be divided in two groups: large ArfGEFs (∼200 kDa), represented by BIG1 and BIG2, and small ArfGEFs (∼45 kDa), represented by ARNO and Cytohesin. In addition to the catalytic Sec7 domain both groups contain a PH domain. The activity of the large ArfGEFs was found to be inhibited by the natural compound Brefeldin A, resulting in the collapse of the Golgi structure. Brefeldin A stabilizes the ternary ARF-GDP-GEF complex and thus traps the GEF in an unproductive complex with its substrate. Structural analysis revealed that Brefeldin A binds at the binding interface between the Sec7 domain and Arf1 and thereby stabilizes the interaction (Renault et al., 2003). An elegant approach to identify inhibitors for GEFs was recently reported for the small ArfGEFs. M69 was identified in a library of RNA aptomers due to its ability to inhibit Cytohesin-1 activity in vitro (Mayer et al., 2001). Subsequently, a chemical library was screened for molecules that could compete with M69 for binding to Cytohesin-1 resulting in identification of SecinH3. SecinH3 inhibited the ARNO and Cytohesin-1 with an IC50 in the low micromolar range in vitro. Interestingly, using this inhibitor it was found that cytohesins play a role in insulin signaling, demonstrating its applicability for in vivo systems (Hafner et al., 2006) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1417_TRAIN | Citance Number: 4 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26592-26608 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26470-26609 | Citation Text:  All known GEFs reconfigure the nucleotide-binding pocket, often opening it by rearranging the switch regions (reviewed in Bos et al., 2007) | Reference Offset:  ['6833-8002'] | Reference Text:  GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced. In general the affinity of the G protein for GTP and GDP is similar, and the GEF does not favor rebinding of GDP or GTP. Thus the resulting increase in GTP-bound over GDP-bound is due to the approximately ten times higher cellular concentration of GTP compared to GDP. As shown first for the interaction between the RanGEF RCC1 and Ran the affinities of the binary complexes between the G protein and either the nucleotide or its GEF are very high. In contrast, the affinities of the exchange factor for the nucleotide-bound G protein and of the nucleotide for the exchange-factor-bound G protein (the ternary complexes) are much lower (Vetter and Wittinghofer, 2001). Thus, the interaction of a GEF weakens the affinity for the nucleotide, and visa versa, the nucleotide weakens the affinity for the GEF. In the course of the exchange reaction the GEF displaces the bound nucleotide, and subsequently a new nucleotide displaces the GEF (Figure 2A) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1417_TRAIN | Citance Number: 5 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26740-26756 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26611-26757 | Citation Text:  Many GEFs facilitate this rearrangement by inserting a protein “wedge” into either the magnesium or the nucleotide-binding site (Bos et al., 2007) | Reference Offset:  ['9249-10432'] | Reference Text:  How does the GEF weaken the affinity of the nucleotide? The G-protein-bound nucleotide is sandwiched between two loops called switch 1 and switch 2. The switch regions together with the phosphate-binding loop (P loop) interact with the phosphates and a coordinating magnesium ion. Both phosphates and the magnesium ion are essential for the high-affinity binding of the nucleotide to the G protein (Vetter and Wittinghofer, 2001). The action of the GEF on the G protein was analyzed in several structural studies. Due to the inherent instability of the ternary complexes most structural studies have been performed with stable binary complexes between GEFs and G proteins (Boriack-Sjodin et al., 1998, Worthylake et al., 2000, Renault et al., 2001, Goldberg, 1998 and Itzen et al., 2006). These have revealed that the catalytic domains of the various families of GEFs are structurally unrelated and approach the G proteins from different angles (Figure 2B). However, they all use similar principles to deform the nucleotide-binding site. GEF binding induces conformational changes in the switch regions and the P loop, while leaving the remainder of the structure largely unperturbed | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1417_TRAIN | Citance Number: 6 | Reference Article:  Bos.txt | Citing Article:  Ismail.txt | Citation Marker Offset:  20222-20238 | Citation Marker:  Bos et al., 2007 | Citation Offset:  20054-20239 | Citation Text:  The Ca2+-mediated stabilization seen here would thus be an alternative to the interaction between the arginine finger and the catalytic Gln found in conventional GAPs (Bos et al., 2007) | Reference Offset:  ['14917-15846'] | Reference Text:  First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water. In addition, an arginine, called the arginine finger, is positioned into the phosphate-binding site and stabilizes the transition state by neutralizing negative charge at the γ-phosphate. The arginine finger fulfils a function very similar to the arginine found in the helical insertion of α-subunits of large G proteins. This mechanism of catalysis is supported by biochemical and mutational studies. For instance, mutation of glutamine 61, which frequently occurs in human tumors, abolishes GAP-induced hydrolysis. Oncogenic mutations at position 12 and 13 of Ras sterically block the proper orientation of both the arginine finger and the glutamine 61 (Scheffzek et al., 1997) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

