Topic ID: D1417_TRAIN | Citance Number: 1 | Reference Article:  Bos.txt | Citing Article:  Araujo-Palomares.txt | Citation Marker Offset:  4281-4282 | Citation Marker:  3 | Citation Offset:  4013-4283 | Citation Text:  Rho guanine nucleotide exchange factors (RhoGEFs) and Rho GTPase-activating proteins (RhoGAPs) enhance nucleotide binding and hydrolysis of Rho GTPases, respectively, and are increasingly acknowledged as crucial determinants of spatio­temporal Rho signaling activity [3] | Reference Offset:  ['1398-1605', '6833-7052', '14917-15165'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 2 | Reference Article:  Bos.txt | Citing Article:  Bar-Peled.txt | Citation Marker Offset:  24707-24723 | Citation Marker:  Bos et al., 2007 | Citation Offset:  24431-24736 | Citation Text:  Preliminary experiments indicated that Ragulator does not have GAP activity toward the Rag GTPases, and so we examined whether it might have the activity of a GEF. A characteristic of GEFs is their strong preference for binding nucleotide-free over nucleotide-loaded GTPases (Bos et al., 2007; Feig, 1999) | Reference Offset:  ['6833-7052', '7723-8002'] | Reference Text:  GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... Thus, the interaction of a GEF weakens the affinity for the nucleotide, and visa versa, the nucleotide weakens the affinity for the GEF. In the course of the exchange reaction the GEF displaces the bound nucleotide, and subsequently a new nucleotide displaces the GEF (Figure 2A) | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 3 | Reference Article:  Bos.txt | Citing Article:  Bill.txt | Citation Marker Offset:  4855-4871 | Citation Marker:  Bos et al., 2007 | Citation Offset:  4761-4872 | Citation Text:  As in the case of other small GTPases, ARF function critically depends on activation by GEFs (Bos et al., 2007) | Reference Offset:  ['1398-1605', '5822-5937', '6425-6605'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... In this review, we will highlight the molecular mechanisms by which small G proteins are regulated by GEFs and GAPs ... Because exchange of GDP for GTP and, thus, activation of G proteins in biological processes occur within minutes or even less, exchange of GDP for GTP requires the activity of GEFs | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 4 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26592-26608 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26470-26609 | Citation Text:  All known GEFs reconfigure the nucleotide-binding pocket, often opening it by rearranging the switch regions (reviewed in Bos et al., 2007) | Reference Offset:  ['9249-9528', '10207-10432'] | Reference Text:  How does the GEF weaken the affinity of the nucleotide? The G-protein-bound nucleotide is sandwiched between two loops called switch 1 and switch 2. The switch regions together with the phosphate-binding loop (P loop) interact with the phosphates and a coordinating magnesium ion ... However, they all use similar principles to deform the nucleotide-binding site. GEF binding induces conformational changes in the switch regions and the P loop, while leaving the remainder of the structure largely unperturbed | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 5 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26740-26756 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26611-26757 | Citation Text:  Many GEFs facilitate this rearrangement by inserting a protein “wedge” into either the magnesium or the nucleotide-binding site (Bos et al., 2007) | Reference Offset:  ['9249-9683'] | Reference Text:  How does the GEF weaken the affinity of the nucleotide? The G-protein-bound nucleotide is sandwiched between two loops called switch 1 and switch 2. The switch regions together with the phosphate-binding loop (P loop) interact with the phosphates and a coordinating magnesium ion. Both phosphates and the magnesium ion are essential for the high-affinity binding of the nucleotide to the G protein (Vetter and Wittinghofer, 2001). The | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 6 | Reference Article:  Bos.txt | Citing Article:  Ismail.txt | Citation Marker Offset:  20222-20238 | Citation Marker:  Bos et al., 2007 | Citation Offset:  20054-20239 | Citation Text:  The Ca2+-mediated stabilization seen here would thus be an alternative to the interaction between the arginine finger and the catalytic Gln found in conventional GAPs (Bos et al., 2007) | Reference Offset:  ['14917-15353'] | Reference Text:  First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water. In addition, an arginine, called the arginine finger, is positioned into the phosphate-binding site and stabilizes the transition state by neutralizing negative charge at the γ-phosphate | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 7 | Reference Article:  Bos.txt | Citing Article:  Ismail.txt | Citation Marker Offset:  3965-3981 | Citation Marker:  Bos et al., 2007 | Citation Offset:  3747-3982 | Citation Text:  The catalytic mechanism of ArfGAPs is elusive. In most GAPs, such as Ras-, Rho, and RabGAPs, a so-called arginine finger is introduced into the active site of their cognate G protein, stabilizing the transition state (Bos et al., 2007) | Reference Offset:  ['14917-15353'] | Reference Text:  First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water. In addition, an arginine, called the arginine finger, is positioned into the phosphate-binding site and stabilizes the transition state by neutralizing negative charge at the γ-phosphate | Discourse Facet:  Discussion_Citation | Annotator:  D, |

