Topic ID: D1417_TRAIN | Citance Number: 1 | Reference Article:  Bos.txt | Citing Article:  Araujo-Palomares.txt | Citation Marker Offset:  4281-4282 | Citation Marker:  3 | Citation Offset:  4013-4283 | Citation Text:  Rho guanine nucleotide exchange factors (RhoGEFs) and Rho GTPase-activating proteins (RhoGAPs) enhance nucleotide binding and hydrolysis of Rho GTPases, respectively, and are increasingly acknowledged as crucial determinants of spatio­temporal Rho signaling activity [3] | Reference Offset:  ['6833-7052', '12419-12580', '12609-12839'] | Reference Text:  GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... Thus, although the various GEFs are not conserved, their common action is to deform the phosphate-binding site, resulting in a reduced affinity of the nucleotide ... Although G proteins are also called GTPases, the actual GTP hydrolysis reaction is in fact very slow, and efficient hydrolysis requires the interaction with a GAP, which accelerates the cleavage step by several orders of magnitude | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1417_TRAIN | Citance Number: 2 | Reference Article:  Bos.txt | Citing Article:  Bar-Peled.txt | Citation Marker Offset:  24707-24723 | Citation Marker:  Bos et al., 2007 | Citation Offset:  24595-24736 | Citation Text:  A characteristic of GEFs is their strong preference for binding nucleotide-free over nucleotide-loaded GTPases (Bos et al., 2007; Feig, 1999) | Reference Offset:  ['7503-7721'] | Reference Text:  In contrast, the affinities of the exchange factor for the nucleotide-bound G protein and of the nucleotide for the exchange-factor-bound G protein (the ternary complexes) are much lower (Vetter and Wittinghofer, 2001) | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1417_TRAIN | Citance Number: 3 | Reference Article:  Bos.txt | Citing Article:  Bill.txt | Citation Marker Offset:  4855-4871 | Citation Marker:  Bos et al., 2007 | Citation Offset:  4761-4872 | Citation Text:  As in the case of other small GTPases, ARF function critically depends on activation by GEFs (Bos et al., 2007) | Reference Offset:  ['39987-40212'] | Reference Text:  An elegant approach to identify inhibitors for GEFs was recently reported for the small ArfGEFs. M69 was identified in a library of RNA aptomers due to its ability to inhibit Cytohesin-1 activity in vitro (Mayer et al., 2001) | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1417_TRAIN | Citance Number: 4 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26592-26608 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26470-26609 | Citation Text:  All known GEFs reconfigure the nucleotide-binding pocket, often opening it by rearranging the switch regions (reviewed in Bos et al., 2007) | Reference Offset:  ['10287-10432'] | Reference Text:  GEF binding induces conformational changes in the switch regions and the P loop, while leaving the remainder of the structure largely unperturbed | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1417_TRAIN | Citance Number: 5 | Reference Article:  Bos.txt | Citing Article:  Cai.txt | Citation Marker Offset:  26740-26756 | Citation Marker:  Bos et al., 2007 | Citation Offset:  26611-26757 | Citation Text:  Many GEFs facilitate this rearrangement by inserting a protein “wedge” into either the magnesium or the nucleotide-binding site (Bos et al., 2007) | Reference Offset:  ['10434-10604', '10606-10851', '10853-11195'] | Reference Text:  For instance, the CDC25-HD of SOS makes extensive contacts with switch 2 and uses an α-helical wedge to pry open the binding site (Figure 2B; Boriack-Sjodin et al., 1998) ... RCC1 uses a β-turn on top of a β-propeller for insertion into the nucleotide-binding site (Renault et al., 2001), whereas MSS4 binds via one of its β strands to switch 1 and thereby forms an intermolecular β sheet (Itzen et al., 2006; Figure 2B) ... In all these cases the interaction of the GEF sterically occludes the magnesium-binding site either by residues of the GEF or by the repositioning of the alanine side chain from the conserved DTAG motif of switch 2. This perturbs the interaction surface in the phosphate-binding region while leaving the base-binding region mostly unperturbed | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1417_TRAIN | Citance Number: 6 | Reference Article:  Bos.txt | Citing Article:  Ismail.txt | Citation Marker Offset:  20222-20238 | Citation Marker:  Bos et al., 2007 | Citation Offset:  20054-20239 | Citation Text:  The Ca2+-mediated stabilization seen here would thus be an alternative to the interaction between the arginine finger and the catalytic Gln found in conventional GAPs (Bos et al., 2007) | Reference Offset:  ['15569-15846'] | Reference Text:  For instance, mutation of glutamine 61, which frequently occurs in human tumors, abolishes GAP-induced hydrolysis. Oncogenic mutations at position 12 and 13 of Ras sterically block the proper orientation of both the arginine finger and the glutamine 61 (Scheffzek et al., 1997) | Discourse Facet:  Implication_Citation | Annotator:  I, |
