Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28367-28837 | Citation Text:  There has been much interest recently in the revival of the suggestion that altered metabolism can contribute to, as well as respond to, oncogenic transformation. Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['28058-28939', '29631-30542'] | Reference Text:  The reprogramming of cellular metabolism to support continuous proliferation is a hallmark of cancer (Hanahan and Weinberg, 2011). Our analysis in vivo following KrasG12D extinction showed rapid downregulation of specific metabolic enzymes and their pathways prior to any discernible biological impact (e.g., morphological or proliferative changes), a finding consistent with the active control of tumor cell metabolism by KrasG12D. Indeed, the Kras oncogene is known to induce aerobic glycolysis (Racker et al., 1985), and PDAC cells have been shown previously to have metabolism consistent with elevated aerobic glycolysis (Zhou et al., 2011). Interestingly, this metabolic switch may be dependent on cell type or oncogenic Ras isoform as H-Ras transformed mesenchymal stem cells do not depend on increased glycolysis for ATP production during transformation (Funes et al., 2007) ... Our work establishes that KrasG12D extinction leads to inhibition of glucose uptake and a decrease in several glycolytic intermediates, including G6P, F6P, and FBP. Although aerobic glycolysis is recognized as inefficient from a bioenergetics perspective, metabolic reprogramming to a glycolytic state has been proposed as a mechanism which allows the allocation of glycolytic intermediates into biosynthetic pathways (Vander Heiden et al., 2009). Indeed, we have demonstrated the enhanced glycolytic flux is diverted into the nonoxidative PPP to facilitate ribose biogenesis. Furthermore, such hypotheses are also supported by the observation that amplification/overexpression of PHGDH, a rate-limiting enzyme functioning to divert 3-phospho-glycerate (a glycolytic intermediate) into the serine biosynthesis pathway, facilitates tumor growth in certain contexts (Locasale et al., 2011; Possemato et al., 2011) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 2 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  2988-2989 | Citation Marker:  9 | Citation Offset:  2713-3141 | Citation Text:  We, and others, have recently described the inducible-Kras*p53+/− (iKras*p53+/−) mouse model of pancreatic cancer, that allows tissue-specific, inducible and reversible expression of mutant Kras in combination with a loss of function allele of the tumor suppressor p53 [8], [9]. iKras*p53+/− mice develop invasive, but non-metastatic pancreatic cancer that is dependent on sustained Kras* activity for its growth and maintenance | Reference Offset:  ['5027-5992', '5995-7322'] | Reference Text:  To control KrasG12D expression in a temporal- and tissue-specific manner, we generated a conditional KrasG12D transgene under the control of a tet-operator with a lox-stop-lox (LSL) cassette inserted between the promoter and the start codon of the KrasG12D open reading frame (tetO_Lox-Stop-Lox-KrasG12D, designated tetO_LKrasG12D) (Figure S1A available online). These mice were crossed to ROSA26-LSL-rtTA-IRES-GFP (ROSA_rtTA) (Belteki et al., 2005) and p48-Cre (Kawaguchi et al., 2002) mice to enable pancreas-specific and doxycycline (doxy)-inducible expression of KrasG12D (Figure S1B). This triple transgenic strain is designated hereafter as iKras. Doxy treatment effectively induced oncogenic Kras expression and activity (Figures S1C and S1D), but did not substantially increase total Kras expression at the mRNA or protein levels (Figures S1C and S1E). Extinction of the KrasG12D transgene occurs within 24 hr following doxy withdrawal (Figures S1C and S1D) ... Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F). Similar to the LSL-KrasG12D knock-in model, induction of the KrasG12D transgene leads to infrequent occurrence of invasive PDAC after long latency (35–70 weeks) (Figure S1F), suggesting comparable biological activity of the KrasG12D alleles and the need for additional genetic events for tumor progression. To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 3 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  3617-3618 | Citation Marker:  9 | Citation Offset:  3427-3717 | Citation Text:  There is a certain variability in these findings: for instance, metastatic potential has been described by other groups using KC or iKras* mice combined with loss of function allele of p53 [9], [13], thus there might be additional effects to consider, such as genetic background of the mice | Reference Offset:  ['5995-7322'] | Reference Text:  Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F). Similar to the LSL-KrasG12D knock-in model, induction of the KrasG12D transgene leads to infrequent occurrence of invasive PDAC after long latency (35–70 weeks) (Figure S1F), suggesting comparable biological activity of the KrasG12D alleles and the need for additional genetic events for tumor progression. To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 4 | Reference Article:  Ying.txt | Citing Article:  Ferrer.txt | Citation Marker Offset:  44595-44612 | Citation Marker:  Ying et al., 2012 | Citation Offset:  44460-44613 | Citation Text:  Importantly, RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo (Ying et al., 2012) | Reference Offset:  ['15231-16085'] | Reference Text:  To further substantiate the essentiality of KrasG12D-mediated control of protein glycosylation, we assessed the impact of shRNA knockdown of Gfpt1. Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F). Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I). Notably, tumors that emerged in the Gfpt1 knockdown group showed recovery of Gfpt1 expression (Figure S5B). Thus, KrasG12D-mediated tumor maintenance is at least partially dependent upon its stimulation of the HBP and associated protein glycosylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 5 | Reference Article:  Ying.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  3700-3717 | Citation Marker:  Ying et al., 2012 | Citation Offset:  3418-3718 | Citation Text:  Accordingly, expression of mutant K-Ras alone is sufficient to drive malignant progression, whereas elimination of mutant K-Ras from established tumors leads to tumor regression (Chin et al., 1999, Fisher et al., 2001, Haigis et al., 2008, Jackson et al., 2001, Li et al., 2011 and Ying et al., 2012) | Reference Offset:  ['7324-8986'] | Reference Text:  As such, we assessed the impact of KrasG12D extinction on tumor biology and maintenance at 9 weeks after induction. As shown in Figure 1C, KrasG12D extinction led to rapid tumor regression with morphological deterioration of tumor cells and rapid degeneration of stromal elements starting 48 hr and peaking at 72 hr following doxy withdrawal. After 1 week of doxy withdrawal, MRI showed a reduction in tumor mass of ~50%, whereas PET/CT showed complete loss of fluorodeoxyglucose (FDG) uptake (Figures 1D and 1E). On the histopathological level, virtually all malignant components of the tumor regressed with the remaining pancreata displaying collagen deposition surrounding few remnant ductal structures (Figure 1C). Correspondingly, tumor regression was accompanied by decreased tumor cell proliferation (BrdU incorporation) and increased apoptosis (Caspase-3 activation) 2–3 days after doxy withdrawal, culminating in complete loss of tumor cell proliferation at 1 week off doxy (Figures 2A and S2A; data not shown). Moreover, KrasG12D extinction effected dramatic changes in the tumor stroma as evidenced by a reduction in pancreatic stellate cells (marked by SMA staining) (Figure 2A), which is a prominent component of the classical stromal reaction in PDAC. This indicates that oncogenic Kras has significant non-cell-autonomous effects on the stromal compartment. The in vivo findings of decreased proliferation and increased apoptosis of the epithelial compartment parallel cell culture assays, such as loss of clonogenic growth of primary tumor cells (Figure S2B), consistent with a role for cell-autonomous mechanisms contributing to tumor regression | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 6 | Reference Article:  Ying.txt | Citing Article:  Itkonen.txt | Citation Marker Offset:  23680-23682 | Citation Marker:  41 | Citation Offset:  23524-23809 | Citation Text:  GFPT1 is the rate-limiting enzyme in the HBP and it has been identified as an important contributor to Kras-driven pancreatic ductal adenocarcinoma (PDAC) [41]. In PDAC, activation of Kras supports anabolic glucose metabolism and tumor growth in mice depends on the expression of GFPT1 | Reference Offset:  ['15231-16085', '14156-14482'] | Reference Text:  Steady-state metabolite profiling showed a significant decrease in glucosamine-6-phosphate (GlcN-6P), the product of the committed step governing entry into HBP (Figures 5A and 5B). Correspondingly, downregulation of the rate-limiting enzyme, Gfpt1, was documented at the transcriptional and protein levels (Figures 5C and 5D) ... To further substantiate the essentiality of KrasG12D-mediated control of protein glycosylation, we assessed the impact of shRNA knockdown of Gfpt1. Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F). Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I). Notably, tumors that emerged in the Gfpt1 knockdown group showed recovery of Gfpt1 expression (Figure S5B). Thus, KrasG12D-mediated tumor maintenance is at least partially dependent upon its stimulation of the HBP and associated protein glycosylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 7 | Reference Article:  Ying.txt | Citing Article:  Kvitek.txt | Citation Marker Offset:  26141-26143 | Citation Marker:  46 | Citation Offset:  25824-26150 | Citation Text:  Cancer is an evolutionary process of clonal selection [43]–[45], and it is beneficial for the cells to replicate as fast as possible through the accumulation of mutations in oncogenes and tumor suppressor genes, many of which are in the homologous Ras/cAMP/PKA pathway that is recurrently mutated in our experiments [46], [47] | Reference Offset:  ['2077-2425'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 8 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  2006-2007 | Citation Marker:  3 | Citation Offset:  1509-2008 | Citation Text:  Pancreatic ductal adenocarcinoma (PDA) appears to develop through a series of ductal precursor lesions, including the most common type, pancreatic intraepithelial neoplasia (PanIN). Both PanINs and PDA exhibit Kras mutations, which may be an initiating event. Mouse models support this notion as targeted and persistent expression of mutant Kras in the mouse pancreatic epithelium both recapitulates the PanIN to PDA sequence observed in humans, and is required for disease maintenance [1], [2], [3] | Reference Offset:  ['5995-7322', '2077-2425'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases ... Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F). Similar to the LSL-KrasG12D knock-in model, induction of the KrasG12D transgene leads to infrequent occurrence of invasive PDAC after long latency (35–70 weeks) (Figure S1F), suggesting comparable biological activity of the KrasG12D alleles and the need for additional genetic events for tumor progression. To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G) | Discourse Facet:  Results_Citation | Annotator:  B, |

