Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28530-28837 | Citation Text:  Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['25017-25122', '25315-25475', '25496-25820'] | Reference Text:  Another possible candidate mediator of Kras-induced transcriptional changes of metabolism genes was HIF1α ... Together, our data indicates that the MAPK pathway and Myc-directed transcriptional control play key roles for KrasG12D-mediated metabolic reprogramming in PDAC ... In this study, an inducible KrasG12D-driven PDAC model provided genetic evidence that oncogenic Kras serves a tumor maintenance role in fully established PDAC. Integrated genomic, biochemical, and metabolomic analyses immediately following KrasG12D extinction revealed a prominent perturbation of multiple metabolic pathways | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 2 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  2988-2989 | Citation Marker:  9 | Citation Offset:  2713-2990 | Citation Text:  We, and others, have recently described the inducible-Kras*p53+/− (iKras*p53+/−) mouse model of pancreatic cancer, that allows tissue-specific, inducible and reversible expression of mutant Kras in combination with a loss of function allele of the tumor suppressor p53 [8], [9] | Reference Offset:  ['6491-6953'] | Reference Text:  To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 3 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  3617-3618 | Citation Marker:  9 | Citation Offset:  3427-3717 | Citation Text:  There is a certain variability in these findings: for instance, metastatic potential has been described by other groups using KC or iKras* mice combined with loss of function allele of p53 [9], [13], thus there might be additional effects to consider, such as genetic background of the mice | Reference Offset:  ['6491-6953'] | Reference Text:  To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 4 | Reference Article:  Ying.txt | Citing Article:  Ferrer.txt | Citation Marker Offset:  44595-44612 | Citation Marker:  Ying et al., 2012 | Citation Offset:  44460-44613 | Citation Text:  Importantly, RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo (Ying et al., 2012) | Reference Offset:  ['15231-15833'] | Reference Text:  To further substantiate the essentiality of KrasG12D-mediated control of protein glycosylation, we assessed the impact of shRNA knockdown of Gfpt1. Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F). Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 5 | Reference Article:  Ying.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  3700-3717 | Citation Marker:  Ying et al., 2012 | Citation Offset:  3418-3718 | Citation Text:  Accordingly, expression of mutant K-Ras alone is sufficient to drive malignant progression, whereas elimination of mutant K-Ras from established tumors leads to tumor regression (Chin et al., 1999, Fisher et al., 2001, Haigis et al., 2008, Jackson et al., 2001, Li et al., 2011 and Ying et al., 2012) | Reference Offset:  ['6491-7665'] | Reference Text:  To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G). As such, we assessed the impact of KrasG12D extinction on tumor biology and maintenance at 9 weeks after induction. As shown in Figure 1C, KrasG12D extinction led to rapid tumor regression with morphological deterioration of tumor cells and rapid degeneration of stromal elements starting 48 hr and peaking at 72 hr following doxy withdrawal | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 6 | Reference Article:  Ying.txt | Citing Article:  Itkonen.txt | Citation Marker Offset:  23680-23682 | Citation Marker:  41 | Citation Offset:  23524-23683 | Citation Text:  GFPT1 is the rate-limiting enzyme in the HBP and it has been identified as an important contributor to Kras-driven pancreatic ductal adenocarcinoma (PDAC) [41] | Reference Offset:  ['15379-15833'] | Reference Text:  Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F). Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I) | Discourse Facet:  Discussion_Citation | Annotator:  D, |
