Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28530-28837 | Citation Text:  Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['4747-4965', '10734-11104', '28189-28489'] | Reference Text:  Integrated transcriptomic, biochemical, and metabolomic analyses reveal a fundamental role of the Kras oncogene in reprogramming tumor metabolism by selectively activating biosynthetic pathways to maintain tumor growth ... Gene set enrichment analysis (GSEA) (Subramanian et al., 2005) of the in vivo and in vitro KrasG12D transcriptome using the KEGG gene sets showed striking representation of metabolic processes, including the downregulation of steroid biosynthesis, pyrimidine metabolism, O-glycan biosynthesis, and glycan structures biosynthesis pathways (Figures 3B and 3C and Table S1) ... Our analysis in vivo following KrasG12D extinction showed rapid downregulation of specific metabolic enzymes and their pathways prior to any discernible biological impact (e.g., morphological or proliferative changes), a finding consistent with the active control of tumor cell metabolism by KrasG12D | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 2 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  2988-2989 | Citation Marker:  9 | Citation Offset:  2713-2990 | Citation Text:  We, and others, have recently described the inducible-Kras*p53+/- (iKras*p53+/-) mouse model of pancreatic cancer, that allows tissue-specific, inducible and reversible expression of mutant Kras in combination with a loss of function allele of the tumor suppressor p53 [8], [9] | Reference Offset:  ['4613-4745', '5027-5388', '5390-5615'] | Reference Text:  Here, we generated an inducible oncogenic Kras model of PDAC and establish that this gene is essential for tumor maintenance in vivo ... To control KrasG12D expression in a temporal- and tissue-specific manner, we generated a conditional KrasG12D transgene under the control of a tet-operator with a lox-stop-lox (LSL) cassette inserted between the promoter and the start codon of the KrasG12D open reading frame (tetO_Lox-Stop-Lox-KrasG12D, designated tetO_LKrasG12D) (Figure S1A available online) ... These mice were crossed to ROSA26-LSL-rtTA-IRES-GFP (ROSA_rtTA) (Belteki et al., 2005) and p48-Cre (Kawaguchi et al., 2002) mice to enable pancreas-specific and doxycycline (doxy)-inducible expression of KrasG12D (Figure S1B) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 3 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  3617-3618 | Citation Marker:  9 | Citation Offset:  3427-3717 | Citation Text:  There is a certain variability in these findings: for instance, metastatic potential has been described by other groups using KC or iKras* mice combined with loss of function allele of p53 [9], [13], thus there might be additional effects to consider, such as genetic background of the mice | Reference Offset:  ['6491-6686', '6688-6953'] | Reference Text:  To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000) ... Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 4 | Reference Article:  Ying.txt | Citing Article:  Ferrer.txt | Citation Marker Offset:  44595-44612 | Citation Marker:  Ying et al., 2012 | Citation Offset:  44460-44613 | Citation Text:  Importantly, RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo (Ying et al., 2012) | Reference Offset:  ['15231-15377', '15379-15605', '15607-15833'] | Reference Text:  To further substantiate the essentiality of KrasG12D-mediated control of protein glycosylation, we assessed the impact of shRNA knockdown of Gfpt1 ... Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F) ... Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 5 | Reference Article:  Ying.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  3700-3717 | Citation Marker:  Ying et al., 2012 | Citation Offset:  3418-3718 | Citation Text:  Accordingly, expression of mutant K-Ras alone is sufficient to drive malignant progression, whereas elimination of mutant K-Ras from established tumors leads to tumor regression (Chin et al., 1999, Fisher et al., 2001, Haigis et al., 2008, Jackson et al., 2001, Li et al., 2011 and Ying et al., 2012) | Reference Offset:  ['9210-9272', '27098-27361'] | Reference Text:  Figure 1 KrasG12D Inactivation Leads to Rapid Tumor Regression ... In our study, the observation of a complete regression of fully established tumors ~1 week upon KrasG12D extinction underscores the essential role of this signature oncogene in PDAC, although we cannot exclude the possibility that residual cancer cells may remain | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 6 | Reference Article:  Ying.txt | Citing Article:  Itkonen.txt | Citation Marker Offset:  23680-23682 | Citation Marker:  41 | Citation Offset:  23524-23683 | Citation Text:  GFPT1 is the rate-limiting enzyme in the HBP and it has been identified as an important contributor to Kras-driven pancreatic ductal adenocarcinoma (PDAC) [41] | Reference Offset:  ['13875-14154', '14338-14482', '30742-30880'] | Reference Text:  Because KrasG12D-regulated glucose metabolites, including G6P and F6P, are precursors for other glucose-utilizing pathways, namely the hexosamine biosynthesis pathway (HBP) and pentose phosphate pathway (PPP), we audited these pathways immediately following KrasG12D inactivation ... Correspondingly, downregulation of the rate-limiting enzyme, Gfpt1, was documented at the transcriptional and protein levels (Figures 5C and 5D) ... Our data shows that the expression of Gfpt1, the first and rate-limiting step of HBP, is strongly downregulated upon KrasG12D inactivation | Discourse Facet:  Results_Citation | Annotator:  G, |
