Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28367-28837 | Citation Text:  There has been much interest recently in the revival of the suggestion that altered metabolism can contribute to, as well as respond to, oncogenic transformation. Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['3853-4064', '4066-4221', '11473-11765'] | Reference Text:  In cancer cells, metabolic pathways are rewired in order to divert nutrients, such as glucose and glutamine, into anabolic pathways to satisfy the demand for cellular building blocks (Vander Heiden et al., 2009) ... Accumulating evidence indicates that the reprogramming of tumor metabolism is under the control of various oncogenic signals (Levine and Puzio-Kuter, 2010) ... To interrogate the role of KrasG12D in the regulation of tumor metabolism, targeted liquid chromatography-tandem mass spectrometry (LC-MS/MS) metabolomic studies were performed to comprehensively characterize metabolic alterations immediately following KrasG12D withdrawal (Yuan et al., 2012) | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 2 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  2988-2989 | Citation Marker:  9 | Citation Offset:  2713-2990 | Citation Text:  We, and others, have recently described the inducible-Kras*p53+/- (iKras*p53+/-) mouse model of pancreatic cancer, that allows tissue-specific, inducible and reversible expression of mutant Kras in combination with a loss of function allele of the tumor suppressor p53 [8], [9] | Reference Offset:  ['5027-5679', '6688-6953', '7211-7438'] | Reference Text:  To control KrasG12D expression in a temporal- and tissue-specific manner, we generated a conditional KrasG12D transgene under the control of a tet-operator with a lox-stop-lox (LSL) cassette inserted between the promoter and the start codon of the KrasG12D open reading frame (tetO_Lox-Stop-Lox-KrasG12D, designated tetO_LKrasG12D) (Figure S1A available online). These mice were crossed to ROSA26-LSL-rtTA-IRES-GFP (ROSA_rtTA) (Belteki et al., 2005) and p48-Cre (Kawaguchi et al., 2002) mice to enable pancreas-specific and doxycycline (doxy)-inducible expression of KrasG12D (Figure S1B). This triple transgenic strain is designated hereafter as iKras ... Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) ... Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G). As such, we assessed the impact of KrasG12D extinction on tumor biology and maintenance at 9 weeks after induction | Discourse Facet:  Method_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 3 | Reference Article:  Ying.txt | Citing Article:  Collins,Brisset.txt | Citation Marker Offset:  3617-3618 | Citation Marker:  9 | Citation Offset:  3427-3717 | Citation Text:  There is a certain variability in these findings: for instance, metastatic potential has been described by other groups using KC or iKras* mice combined with loss of function allele of p53 [9], [13], thus there might be additional effects to consider, such as genetic background of the mice | Reference Offset:  ['6491-6686', '6688-6953', '7211-7438'] | Reference Text:  To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000) ... Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) ... Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G). As such, we assessed the impact of KrasG12D extinction on tumor biology and maintenance at 9 weeks after induction | Discourse Facet:  Method_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 4 | Reference Article:  Ying.txt | Citing Article:  Ferrer.txt | Citation Marker Offset:  44595-44612 | Citation Marker:  Ying et al., 2012 | Citation Offset:  44460-44613 | Citation Text:  Importantly, RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo (Ying et al., 2012) | Reference Offset:  ['15379-15833', '15835-16085', '30742-30880'] | Reference Text:  Consistent with its pivotal role in providing protein glycosylation substrates, Gfpt1 knockdown reduced the overall O-linked glycosylation to a level similar to that of tumor cells in which KrasG12D is extinguished (Figure 5F). Gfpt1 knockdown also inhibited the clonogenic and soft-agar growth of tumor cells from both the iKras p53L/+ and the LSL-KrasG12D p53L/+ tumor cells (Figures 5G and 5H) and suppressed xenograft tumor growth in vivo (Figure 5I) ... Notably, tumors that emerged in the Gfpt1 knockdown group showed recovery of Gfpt1 expression (Figure S5B). Thus, KrasG12D-mediated tumor maintenance is at least partially dependent upon its stimulation of the HBP and associated protein glycosylation ... Our data shows that the expression of Gfpt1, the first and rate-limiting step of HBP, is strongly downregulated upon KrasG12D inactivation | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 5 | Reference Article:  Ying.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  3700-3717 | Citation Marker:  Ying et al., 2012 | Citation Offset:  3418-3718 | Citation Text:  Accordingly, expression of mutant K-Ras alone is sufficient to drive malignant progression, whereas elimination of mutant K-Ras from established tumors leads to tumor regression (Chin et al., 1999, Fisher et al., 2001, Haigis et al., 2008, Jackson et al., 2001, Li et al., 2011 and Ying et al., 2012) | Reference Offset:  ['2202-2525', '6491-6953', '7440-7665'] | Reference Text:  Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases, and subsequent loss of tumor suppressors including INK4A/ARF, TP53, and SMAD4 (Hezel et al., 2006) ... To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A) ... As shown in Figure 1C, KrasG12D extinction led to rapid tumor regression with morphological deterioration of tumor cells and rapid degeneration of stromal elements starting 48 hr and peaking at 72 hr following doxy withdrawal | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 6 | Reference Article:  Ying.txt | Citing Article:  Itkonen.txt | Citation Marker Offset:  23680-23682 | Citation Marker:  41 | Citation Offset:  23524-23809 | Citation Text:  GFPT1 is the rate-limiting enzyme in the HBP and it has been identified as an important contributor to Kras-driven pancreatic ductal adenocarcinoma (PDAC) [41]. In PDAC, activation of Kras supports anabolic glucose metabolism and tumor growth in mice depends on the expression of GFPT1 | Reference Offset:  ['12832-13054', '14338-14482', '25822-26146'] | Reference Text:  These data suggest that KrasG12D is essential for glucose utilization in this model through the regulation of multiple rate-limiting steps including those that govern glucose uptake and subsequent metabolism. Interestingly ... Correspondingly, downregulation of the rate-limiting enzyme, Gfpt1, was documented at the transcriptional and protein levels (Figures 5C and 5D) ... In particular, KrasG12D exerts potent control of glycolysis through regulation of glucose transporter and several rate-limiting enzymes at the transcriptional level, which collectively serve to shunt glucose metabolism toward anabolic pathways, such as HBP for protein glycosylation and PPP for ribose production (Figure 7B) | Discourse Facet:  Results_Citation | Annotator:  I, |
