Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['6767-7154', '31823-32123'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 2 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  3205-3206 | Citation Marker:  8 | Citation Offset:  2707-3240 | Citation Text:  Developing molecular signatures in particular, is playing an increasingly important role in a variety of research design objectives both in basic and translational studies. Such objectives include, for example, detecting complex and coordinated patterns of transcriptional response to chemotherapeutic agents on cell lines and predicting subsequent patient treatment response on the basis of this information [5], discovery of new drug targets [6], discovery of biomarkers [7], subtyping diseases [8] and personalizing treatments [9] | Reference Offset:  ['1017-1435', '7662-8044', '29368-29713'] | Reference Text:  Distinct expression profiles identified each of the prognostically important leukemia subtypes, including T-ALL, E2A-PBX1, BCR-ABL, TEL-AML1, MLL rearrangement, and hyperdiploid >50 chromosomes. In addition, another ALL subgroup was identified based on its unique expression profile. Examination of the genes comprising the expression signatures provided important insights into the biology of these leukemia subgroups ... Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... However, within the TEL-AML1 subgroup, a distinct expression signature consisting of 20 genes was defined that identified, with 100% accuracy in crossvalidation, all patients who developed secondary AML, with a p value of 0.031 as assessed by comparison to results from an analysis of 1000 random permutations of the patient data set (Figure 6B) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 3 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  4700-4701 | Citation Marker:  8 | Citation Offset:  4570-4718 | Citation Text:  The present report uses theoretical analysis, simulation experiments, and empirical analysis of 7 human gene expression datasets [8], [9], [18]ñ[22] | Reference Offset:  ['6767-7154', '7662-8440'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile. These cases had normal, pseudodiploid, or hyperdiploid karyotypes and lacked any consistent cytogenetic abnormality. The separation of the seven leukemia subgroups was also seen using the multidimensional scaling procedure of discriminant analysis with variance (DAV), in which the data are reduced into component dimensions consisting of linear combinations of discriminating genes (Figure 1A) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 4 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5666-5667 | Citation Marker:  8 | Citation Offset:  5487-5684 | Citation Text:  We subsequently test the insights and hypotheses generated by the theoretical analysis and simulation studies with real gene expression data. Specifically, we analyze 7 datasets [8], [9], [18]ñ[22] | Reference Offset:  ['5975-6313', '31823-32123', '40150-40343'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved ... The data presented here suggest that the single platform of gene expression profiling provides a robust and accurate approach for the diagnosis and risk stratification of pediatric ALL patients | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 5 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5857-5858 | Citation Marker:  8 | Citation Offset:  5686-5887 | Citation Text:  These datasets are important for two reasons: first, they have been used to derive both clinically relevant signatures and to investigate underlying biological processes [8], [9], [18], [20]ñ[22], [24] | Reference Offset:  ['1017-1435', '6315-6700', '40834-41074'] | Reference Text:  Distinct expression profiles identified each of the prognostically important leukemia subtypes, including T-ALL, E2A-PBX1, BCR-ABL, TEL-AML1, MLL rearrangement, and hyperdiploid >50 chromosomes. In addition, another ALL subgroup was identified based on its unique expression profile. Examination of the genes comprising the expression signatures provided important insights into the biology of these leukemia subgroups ... These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology. In addition, gene expression profiling allows the accurate identification of some patients who are at a high risk for failing conventional therapeutic approaches ... Lastly, the generated database of comprehensive gene expression profiles coupled with detailed immunophenotype, cytogenetic, molecular diagnostic, and treatment outcome data should be an invaluable resource for studies of pediatric leukemia | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 6 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  25224-25240 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  25020-25240 | Citation Text:  Multiple studies have shown that gene expression patterns can be used to identify prognostic subsets within morphologically similar tumors Alizadeh et al. 2000, Pomeroy et al. 2002, Shipp et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['31823-32123', '33337-33698', '33910-34330'] | Reference Text:  Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved ... One of the most surprising observations from this study was the remarkable difference in the expression profiles of the individual leukemia subtypes. Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes ... Remarkably, the expression differences between individual ALL subtypes were more robust than expression differences between either lung adenocarcinoma (Su et al., 2001) or melanoma (Ramaswamy et al., 2001) and bladder transitional carcinoma, tumors that conceptually would be considered more divergent. Thus, our data supports the interpretation that these leukemic subtypes are distinct biological and clinical entities | Discourse Facet:  Discussion_Citation | Annotator:  C, |

