Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]–[22] are summarized in Table 1 | Reference Offset:  ['6767-7154', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 2 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  3205-3206 | Citation Marker:  8 | Citation Offset:  2880-3240 | Citation Text:  Such objectives include, for example, detecting complex and coordinated patterns of transcriptional response to chemotherapeutic agents on cell lines and predicting subsequent patient treatment response on the basis of this information [5], discovery of new drug targets [6], discovery of biomarkers [7], subtyping diseases [8] and personalizing treatments [9] | Reference Offset:  ['7662-7853', '31598-31989', '34213-34330'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... Thus, our data supports the interpretation that these leukemic subtypes are distinct biological and clinical entities | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 3 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  4700-4701 | Citation Marker:  8 | Citation Offset:  4570-4718 | Citation Text:  The present report uses theoretical analysis, simulation experiments, and empirical analysis of 7 human gene expression datasets [8], [9], [18]–[22] | Reference Offset:  ['6767-7154', '42273-42543', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... The composition of the data sets used for the identification of gene expression profiles predictive of specific genetic subtypes, hematological relapse, and risk of developing secondary AML are detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 4 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5666-5667 | Citation Marker:  8 | Citation Offset:  5487-5684 | Citation Text:  We subsequently test the insights and hypotheses generated by the theoretical analysis and simulation studies with real gene expression data. Specifically, we analyze 7 datasets [8], [9], [18]–[22] | Reference Offset:  ['6767-7154', '41335-41625', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... A total of 389 pediatric acute leukemia samples were analyzed in this study, from which high-quality gene expression data was obtained on 360 (93%). The successfully analyzed samples included: 332 diagnostic BM, 3 diagnostic peripheral bloods (PB), and 25 relapsed ALL samples from BM or PB ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 5 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5857-5858 | Citation Marker:  8 | Citation Offset:  5686-5887 | Citation Text:  These datasets are important for two reasons: first, they have been used to derive both clinically relevant signatures and to investigate underlying biological processes [8], [9], [18], [20]–[22], [24] | Reference Offset:  ['31598-31989', '6767-7154', '11251-11537'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 6 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  25224-25240 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  25020-25240 | Citation Text:  Multiple studies have shown that gene expression patterns can be used to identify prognostic subsets within morphologically similar tumors Alizadeh et al. 2000, Pomeroy et al. 2002, Shipp et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['7662-8161', '11251-11667', '31598-31989'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile. These cases had normal, pseudodiploid, or hyperdiploid karyotypes and lacked any consistent cytogenetic abnormality ... As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes. The expression profiles of these latter cases varied markedly, suggesting that they represent a heterogeneous group of leukemias ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement | Discourse Facet:  Discussion_Citation | Annotator:  D, |
