Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['5975-6313', '6998-7154'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 2 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  3205-3206 | Citation Marker:  8 | Citation Offset:  2880-3240 | Citation Text:  Such objectives include, for example, detecting complex and coordinated patterns of transcriptional response to chemotherapeutic agents on cell lines and predicting subsequent patient treatment response on the basis of this information [5], discovery of new drug targets [6], discovery of biomarkers [7], subtyping diseases [8] and personalizing treatments [9] | Reference Offset:  ['6315-6537'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 3 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  4700-4701 | Citation Marker:  8 | Citation Offset:  4570-4718 | Citation Text:  The present report uses theoretical analysis, simulation experiments, and empirical analysis of 7 human gene expression datasets [8], [9], [18]ñ[22] | Reference Offset:  ['5975-6313'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 4 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5666-5667 | Citation Marker:  8 | Citation Offset:  5629-5684 | Citation Text:  Specifically, we analyze 7 datasets [8], [9], [18]ñ[22] | Reference Offset:  ['5975-6313', '6998-7154'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 5 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5857-5858 | Citation Marker:  8 | Citation Offset:  5686-5887 | Citation Text:  These datasets are important for two reasons: first, they have been used to derive both clinically relevant signatures and to investigate underlying biological processes [8], [9], [18], [20]ñ[22], [24] | Reference Offset:  ['5975-6313'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 6 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  25224-25240 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  25020-25240 | Citation Text:  Multiple studies have shown that gene expression patterns can be used to identify prognostic subsets within morphologically similar tumors Alizadeh et al. 2000, Pomeroy et al. 2002, Shipp et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['23455-23602', '33487-33698'] | Reference Text:  Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL ... Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes | Discourse Facet:  Implication_Citation | Annotator:  G, |
