Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['6767-6996', '7157-7456'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 2 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  3205-3206 | Citation Marker:  8 | Citation Offset:  2880-3240 | Citation Text:  Such objectives include, for example, detecting complex and coordinated patterns of transcriptional response to chemotherapeutic agents on cell lines and predicting subsequent patient treatment response on the basis of this information [5], discovery of new drug targets [6], discovery of biomarkers [7], subtyping diseases [8] and personalizing treatments [9] | Reference Offset:  ['3232-3448', '4562-4661'] | Reference Text:  This approach was developed following the realization that pediatric ALL is a heterogeneous disease consisting of various leukemia subtypes that differ markedly in their response to chemotherapy (Pui and Evans, 1998) ... The underlying genetic lesions in these leukemia subtypes influence the response to cytotoxic drugs | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 3 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  4700-4701 | Citation Marker:  8 | Citation Offset:  4570-4718 | Citation Text:  The present report uses theoretical analysis, simulation experiments, and empirical analysis of 7 human gene expression datasets [8], [9], [18]ñ[22] | Reference Offset:  ['7157-7456', '18714-19016', '31823-32123'] | Reference Text:  In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples ... A major goal of this study was to determine if the single platform of expression profiling could accurately identify the known prognostically important leukemia subtypes. We formally tested this issue by using computer-assisted learning algorithms to develop an expression-based leukemia classification ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 4 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5666-5667 | Citation Marker:  8 | Citation Offset:  5487-5684 | Citation Text:  We subsequently test the insights and hypotheses generated by the theoretical analysis and simulation studies with real gene expression data. Specifically, we analyze 7 datasets [8], [9], [18]ñ[22] | Reference Offset:  ['18714-19016', '19018-19685'] | Reference Text:  A major goal of this study was to determine if the single platform of expression profiling could accurately identify the known prognostically important leukemia subtypes. We formally tested this issue by using computer-assisted learning algorithms to develop an expression-based leukemia classification ... Through a reiterative process of error minimization, these supervised learning algorithms learn to recognize the optimal gene expression patterns for a specific subtype. Classification was approached using a decision tree format, in which the first decision was T-ALL versus B lineage (non-T-ALL) and then within the B lineage subset, cases were sequentially classified into the known risk groups characterized by the presence of E2A-PBX1, TEL-AML1, BCR-ABL, MLL chimeric genes, and lastly hyperdiploid with >50 chromosomes. Cases not assigned to one of these classes were left unassigned (see Supplemental Data, Figure S19 at http://www.stjuderesearch.org/data/ALL1) | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 5 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  5857-5858 | Citation Marker:  8 | Citation Offset:  5686-5887 | Citation Text:  These datasets are important for two reasons: first, they have been used to derive both clinically relevant signatures and to investigate underlying biological processes [8], [9], [18], [20]ñ[22], [24] | Reference Offset:  ['23455-23602', '25468-25818', '34213-34543'] | Reference Text:  Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL ... To further assess the predictive power of the different gene expression profiles, we again used supervised learning algorithms. Because of the overwhelming differences in the expression profiles of the different leukemia subtypes, we were unable to identify a single expression signature that would predict relapse irrespective of the genetic subtype ... Thus, our data supports the interpretation that these leukemic subtypes are distinct biological and clinical entities. For subgroups defined by either translocation-encoded chimeric transcription factors or altered signaling proteins such as BCR-ABL, the presence of a distinct gene expression profile is not completely unexpected | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 6 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  25224-25240 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  25020-25240 | Citation Text:  Multiple studies have shown that gene expression patterns can be used to identify prognostic subsets within morphologically similar tumors Alizadeh et al. 2000, Pomeroy et al. 2002, Shipp et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['33487-33698', '33910-34330'] | Reference Text:  Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes ... Remarkably, the expression differences between individual ALL subtypes were more robust than expression differences between either lung adenocarcinoma (Su et al., 2001) or melanoma (Ramaswamy et al., 2001) and bladder transitional carcinoma, tumors that conceptually would be considered more divergent. Thus, our data supports the interpretation that these leukemic subtypes are distinct biological and clinical entities | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 7 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  2740-2756 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  2332-2756 | Citation Text:  Gene expression profiles of neoplastic cells are beginning to provide important biological and clinical insights. Recent analyses of multiple different cancers have identified gene expression differences between tumors with similar histologic characteristics yet heterogeneous clinical behavior Alizadeh et al. 2000, Armstrong et al. 2002, Bhattacharjee et al. 2001, Perou et al. 2000, Singh et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['6767-6996', '31823-32123', '33487-33698'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved ... Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 8 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  5308-5325 | Citation Marker:  Yeoh et al., 2002 | Citation Offset:  5089-5326 | Citation Text:  Another recent gene expression study of large numbers of cases provided support for the hypothesis that distinct leukemias are specified by each of the unique chromosomal abnormalities found in lymphoblastic leukemias (Yeoh et al., 2002) | Reference Offset:  ['31823-32123', '33487-33698', '33910-34211'] | Reference Text:  Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved ... Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes ... Remarkably, the expression differences between individual ALL subtypes were more robust than expression differences between either lung adenocarcinoma (Su et al., 2001) or melanoma (Ramaswamy et al., 2001) and bladder transitional carcinoma, tumors that conceptually would be considered more divergent | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 9 | Reference Article:  Yeoh.txt | Citing Article:  Chen,Guo.txt | Citation Marker Offset:  4358-4360 | Citation Marker:  10 | Citation Offset:  4214-4361 | Citation Text:  Transcriptome analysis using microarrays has been employed recently to profile global changes in gene expression in human cancers [8], [9] and [10] | Reference Offset:  ['6767-6996', '23233-23602', '37526-38085'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... Thus, the identified expression profiles appear to reflect an abnormality of the TEL transcription factor and may provide a more accurate means of identifying a specific leukemia subtype defined by its underlying biology. Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL ... It is important to keep in mind that the present analysis falls far short of a total transcriptional profile of the leukemic blasts. Although 12,600 probe sets are present on the microarray, the total number of genes that this represents accounts for less than 20% of the estimated number of genes within the human genome (Hogenesch et al., 2001). In the future, the use of higher-density chips should not only further enhance our ability to accurately identify those patients who will relapse, but should also provide a clearer view of the underlying biology | Discourse Facet:  Results_Citation | Annotator:  H, |

