Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['6151-6487', '6617-7115'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability. Combined gene expression and chromatin occupancy analysis reveals a broad network of pathways controlled by GATA2 in RAS-pathway mutant NSCLC cells ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 2 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4962-4981 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  4962-5268 | Citation Text:  Kumar et al. (2012) screened human NSCLC cell lines carrying either wild-type or mutant KRAS with an RNAi library against 7,000 human genes. Using cell viability as the biological read-out, they identified the transcription factor GATA2 essential for the proliferation of cell lines carrying oncogenic KRAS | Reference Offset:  ['7190-7618', '8687-8785'] | Reference Text:  To discover novel genes necessary in KRAS mutant cancer cells, we performed an RNA interference (RNAi) screen targeting some 7,000 human genes in a panel of KRAS mutant and wild-type (WT) cancer cells. Among other factors (including KRAS itself), we found that loss of the transcription factor GATA2 led to a decrease in KRAS mutant cell viability and an increase in apoptosis (M.S., M.M.-A., D.C.H., and J.D., unpublished data) ... Taken together, these findings suggest that KRAS mutant NSCLC cells depend upon GATA2 for survival | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 3 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  6555-6574 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  6546-6872 | Citation Text:  Finally, Kumar et al. (2012) identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant but not wild-type tumor cells. Not surprisingly, GATA2 knockdown in KRAS mutant cells resulted in a striking reduction of active GTP-bound RHO proteins, including the downstream ROCK kinase | Reference Offset:  ['33438-33787', '35807-35950', '36319-36620'] | Reference Text:  By ChIP-PCR, we verified that several of the Rho-pathway genes were bound by GATA2 in mutant but not WT NSCLC cells (Figure 5B). Furthermore, our original GSEA included Rho-related cell adhesion pathways among the GATA2-regulated gene sets (Figure S4D), and qRT-PCR revealed reduced expression of Rho-pathway targets with GATA2 depletion (Figure 5C) ... GATA2 knockdown triggered a striking decline in GTP-bound Rho (including RhoA, RhoB, and RhoC isoforms) in mutant lung cancer cells (Figure 5D) ... This effect on Rho-pathway activation was specific to RAS-pathway mutant lung cancer cells, as phosphorylation of the myosin light chain (pMLC), a substrate of ROCK1 and downstream marker for Rho signaling, was suppressed in mutant cells with GATA2 knockdown but was unaffected in WT cells (Figure 5E) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 4 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8025-8044 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8016-8165 | Citation Text:  Finally, Kumar et al. (2012) combined available inhibitors selective for two of the pathways regulated by GATA2 to treat mice with Kras-driven NSCLCs | Reference Offset:  ['56838-57218', '57833-58055'] | Reference Text:  In particular, the proteasome, and indirectly NF-κB, can be inhibited with the FDA-licensed drug bortezomib and the Rho/ROCK-signaling cascade with fasudil, which has been approved for clinical use in Japan. To examine combined inhibition of these pathways on KRAS mutant NSCLC, we first treated a subset of KRAS mutant and WT cells with the individual drugs and their combination ... To extend these results in vivo, we treated KrasLA2-G12D mice at 12 weeks old, an age at which these animals have an extensive lung tumor burden ( Johnson et al., 2001), with either drug individually or both in combination | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 5 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8934-8953 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8884-9214 | Citation Text:  Possibly; however, we should consider the data of Kumar et al. (2012) as an exciting but early step in the long process of drug discovery. The GEM model used in this study retains wild-type Tp53, suggesting that the tumors successfully treated with bortezomib and fasudil might not be as aggressive as those in most NSCLC patients | Reference Offset:  ['1323-1629', '64393-64849'] | Reference Text:  Although GATA2 itself is likely undruggable, combined suppression of GATA2-regulated pathways with clinically approved inhibitors caused marked tumor clearance. Discovery of the nononcogene addiction of KRAS mutant lung cancers to GATA2 presents a network of druggable pathways for therapeutic exploitation ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 6 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  9385-9404 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  9216-9489 | Citation Text:  Moreover, the in vivo data is still preliminary and other potential roadblocks such as drug resistance have not been examined. In spite of these caveats, the results of Kumar et al. (2012) represent a very important advance in the long-standing fight to conquer lung cancer | Reference Offset:  ['59026-59625', '64393-64849', '65557-65671'] | Reference Text:  Although the effect of this combination on the stroma might also contribute to inhibition of tumor growth, as seen for ROCK/JAK inhibition in squamous cell cancers ( Sanz-Moreno et al., 2011), our combined genetic and pharmacological analyses suggest a strong cell-autonomous effect of GATA2 pathway suppression on the tumor tissue, as in the KrasLSL-G12D model Gata2 is deleted only in tumor cells and not stroma, endothelial, or other host tissues. Collectively, these results demonstrate that joint treatment with clinically available inhibitors causes substantial regression of Kras-mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... We anticipate that this report will extend the basis for combinatorial design of targeted therapies in lung cancer | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 7 | Reference Article:  Kumar.txt | Citing Article:  Cheung.txt | Citation Marker Offset:  15530-15548 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  15343-15574 | Citation Text:  In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth (Figure 4B), whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported (Figures 4C and S4B-C) (Kumar et al., 2012; Rothenberg et al., 2008) | Reference Offset:  ['12847-13345', '13549-13949', '14019-14348'] | Reference Text:  To address this, we used small-interfering RNAs (siRNAs) against both KRAS and GATA2 in the NSCLC cell lines A549 (KRAS mutant), PC9 (EGFR mutant), and H322M (WT). As expected, A549 cells exhibited reduced viability with loss of either KRAS or GATA2, whereas H322M cells were unaffected ( Figure 1B). Surprisingly, PC9 cells were also dependent on GATA2 for viability. Examination of additional EGFR mutant (H3255) and KRAS mutant (H441) NSCLC cells revealed similar effects for GATA2 ( Figure S1D) ... To further validate GATA2, we designed shRNAs against GATA2. To this end, one shRNA (shGATA2.1) achieved substantial knockdown of GATA2 in A549 and PC9 cells relative to a control (shGAPDH) and a nonfunctional GATA2 shRNA (shGATA2.2) (Figure 1C). Notably, shGATA2.1-expressing A549 and PC9 cells had greatly reduced viability relative to the other shRNAs but did not affect WT H322M cells (Figure 1D) ... Examination of additional KRAS and EGFR mutant cells showed a striking dependency on GATA2 for mutant cell viability ( Figure S1F). Moreover, this dependency was broadly observed in oncogene-driven NSCLC cells, as cell lines with mutations in NRAS, NF1, and EML4-ALK all exhibited reduced viability in response to GATA2 knockdown | Discourse Facet:  Results_Citation | Annotator:  C, |

