Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['56689-57387'] | Reference Text:  However, our studies revealed a GATA2-regulated signaling network, several components of which can be inhibited with clinically available compounds. In particular, the proteasome, and indirectly NF-κB, can be inhibited with the FDA-licensed drug bortezomib and the Rho/ROCK-signaling cascade with fasudil, which has been approved for clinical use in Japan. To examine combined inhibition of these pathways on KRAS mutant NSCLC, we first treated a subset of KRAS mutant and WT cells with the individual drugs and their combination. Notably, whereas there was a substantial effect of combined bortezomib/fasudil treatment in mutant cells, the effect was much less pronounced in WT cells ( Figure S7B) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 2 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4962-4981 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  4962-5101 | Citation Text:  Kumar et al. (2012) screened human NSCLC cell lines carrying either wild-type or mutant KRAS with an RNAi library against 7,000 human genes | Reference Offset:  ['7190-7390'] | Reference Text:  To discover novel genes necessary in KRAS mutant cancer cells, we performed an RNA interference (RNAi) screen targeting some 7,000 human genes in a panel of KRAS mutant and wild-type (WT) cancer cells | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 3 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  6555-6574 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  6546-6712 | Citation Text:  Finally, Kumar et al. (2012) identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant but not wild-type tumor cells | Reference Offset:  ['33121-33565', '36875-36995'] | Reference Text:  We then determined whether there was enrichment of gene sets particularly in mutant cells. Strikingly, we observed numerous Rho-related signaling pathways as being broadly occupied by GATA2 in mutant cells but not in WT cells (Figure S4C). Among these Rho-pathway genes is the Rho kinase ROCK1, as seen in Figure 5A. By ChIP-PCR, we verified that several of the Rho-pathway genes were bound by GATA2 in mutant but not WT NSCLC cells (Figure 5B) ... Taken together, these effects demonstrate that GATA2 is necessary for Rho-pathway activation in RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 4 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8025-8044 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8016-8165 | Citation Text:  Finally, Kumar et al. (2012) combined available inhibitors selective for two of the pathways regulated by GATA2 to treat mice with Kras-driven NSCLCs | Reference Offset:  ['59477-59625'] | Reference Text:  Collectively, these results demonstrate that joint treatment with clinically available inhibitors causes substantial regression of Kras-mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 5 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8934-8953 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8884-9021 | Citation Text:  Possibly; however, we should consider the data of Kumar et al. (2012) as an exciting but early step in the long process of drug discovery | Reference Offset:  ['59477-59625'] | Reference Text:  Collectively, these results demonstrate that joint treatment with clinically available inhibitors causes substantial regression of Kras-mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 6 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  9385-9404 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  9343-9489 | Citation Text:  In spite of these caveats, the results of Kumar et al. (2012) represent a very important advance in the long-standing fight to conquer lung cancer | Reference Offset:  ['59477-59625'] | Reference Text:  Collectively, these results demonstrate that joint treatment with clinically available inhibitors causes substantial regression of Kras-mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |
