Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['6257-6338', '6617-6828', '6830-7115'] | Reference Text:  Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 2 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4962-4981 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  4962-5101 | Citation Text:  Kumar et al. (2012) screened human NSCLC cell lines carrying either wild-type or mutant KRAS with an RNAi library against 7,000 human genes | Reference Offset:  ['7190-7390'] | Reference Text:  To discover novel genes necessary in KRAS mutant cancer cells, we performed an RNA interference (RNAi) screen targeting some 7,000 human genes in a panel of KRAS mutant and wild-type (WT) cancer cells | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 3 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  6555-6574 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  6546-6712 | Citation Text:  Finally, Kumar et al. (2012) identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant but not wild-type tumor cells | Reference Offset:  ['33212-33359'] | Reference Text:  Strikingly, we observed numerous Rho-related signaling pathways as being broadly occupied by GATA2 in mutant cells but not in WT cells (Figure S4C) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 4 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8025-8044 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8016-8165 | Citation Text:  Finally, Kumar et al. (2012) combined available inhibitors selective for two of the pathways regulated by GATA2 to treat mice with Kras-driven NSCLCs | Reference Offset:  ['6830-7115'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 5 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8934-8953 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8894-9021 | Citation Text:  however, we should consider the data of Kumar et al. (2012) as an exciting but early step in the long process of drug discovery | Reference Offset:  ['64393-64565', '64711-64849', '65557-65671'] | Reference Text:  Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting ... Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... We anticipate that this report will extend the basis for combinatorial design of targeted therapies in lung cancer | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 6 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  9385-9404 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  9343-9489 | Citation Text:  In spite of these caveats, the results of Kumar et al. (2012) represent a very important advance in the long-standing fight to conquer lung cancer | Reference Offset:  ['64711-64849', '65557-65671'] | Reference Text:  Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... We anticipate that this report will extend the basis for combinatorial design of targeted therapies in lung cancer | Discourse Facet:  Method_Citation | Annotator:  G, |
