Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['64393-64849', '66781-66928', '67488-68012'] | Reference Text:  Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... A detailed description of the original RNAi screen has been submitted for publication elsewhere (M.S., M.M.-A., D.C.H., and J.D., unpublished data) ... The assay measured both cell viability and caspase activity. The top 50 hits from this screen were then tested against a cell line panel consisting of 28 cancer cell lines (14 KRAS mutant and 14 KRAS WT) from colon, lung, pancreas, ovary, and stomach tumors. Nine cell lines overlapped between that panel and the lung-only 26 cancer cell line panel reported here in Figures 1A and S1AñS1D. Using apoptosis induction as a readout, GATA2 knockdown showed the greatest selectivity for the KRAS mutant genotype after KRAS itself | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 2 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4962-4981 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  4962-5268 | Citation Text:  Kumar et al. (2012) screened human NSCLC cell lines carrying either wild-type or mutant KRAS with an RNAi library against 7,000 human genes. Using cell viability as the biological read-out, they identified the transcription factor GATA2 essential for the proliferation of cell lines carrying oncogenic KRAS | Reference Offset:  ['7190-7618', '7620-7943', '67103-67486'] | Reference Text:  To discover novel genes necessary in KRAS mutant cancer cells, we performed an RNA interference (RNAi) screen targeting some 7,000 human genes in a panel of KRAS mutant and wild-type (WT) cancer cells. Among other factors (including KRAS itself), we found that loss of the transcription factor GATA2 led to a decrease in KRAS mutant cell viability and an increase in apoptosis (M.S., M.M.-A., D.C.H., and J.D., unpublished data) ... To extend these findings, we analyzed 26 NSCLC cell lines, of which 14 were KRAS mutant and 12 were WT. Short-term GATA2 knockdown led to specific decreased cell viability and increased apoptosis in KRAS mutant NSCLC cells, comparable to the effect seen with loss of KRAS itself ( Figure 1A and Figure S1A available online) ... Over 7,000 genes were individually targeted using Dharmacon's ìdruggable genomeî collection of SMARTpool siRNAs, including all G protein-coupled receptors (GPCRs), protein kinases, phosphatases, ion channels, proteases, and ubiquitin-conjugating enzymes, plus genes involved with apoptosis, senescence, nucleic acid binding, autophagy, DNA repair, and characterized nuclear receptors | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 3 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  6555-6574 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  6546-6712 | Citation Text:  Finally, Kumar et al. (2012) identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant but not wild-type tumor cells | Reference Offset:  ['33121-33565', '33789-33889', '35683-35950'] | Reference Text:  We then determined whether there was enrichment of gene sets particularly in mutant cells. Strikingly, we observed numerous Rho-related signaling pathways as being broadly occupied by GATA2 in mutant cells but not in WT cells (Figure S4C). Among these Rho-pathway genes is the Rho kinase ROCK1, as seen in Figure 5A. By ChIP-PCR, we verified that several of the Rho-pathway genes were bound by GATA2 in mutant but not WT NSCLC cells (Figure 5B) ... In total, these results suggest that GATA2 directly regulates expression of Rho-signaling components ... Recognizing this regulation of Rho targets by GATA2, we assessed the functional consequences of GATA2 loss on Rho activity. GATA2 knockdown triggered a striking decline in GTP-bound Rho (including RhoA, RhoB, and RhoC isoforms) in mutant lung cancer cells (Figure 5D) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 4 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8025-8044 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8016-8165 | Citation Text:  Finally, Kumar et al. (2012) combined available inhibitors selective for two of the pathways regulated by GATA2 to treat mice with Kras-driven NSCLCs | Reference Offset:  ['57833-58189', '70972-71239'] | Reference Text:  To extend these results in vivo, we treated KrasLA2-G12D mice at 12 weeks old, an age at which these animals have an extensive lung tumor burden ( Johnson et al., 2001), with either drug individually or both in combination. We found that bortezomib and fasudil treatments for 3 days clearly suppress proteasome and ROCK signaling, respectively ( Figure 7A) ... Mice were treated with PBS, bortezomib, fasudil, or bortezomib and fasudil. For 3 day treatments, tumor protein was collected. For 4 week treatments, lungs were examined histologically or lung protein was collected. Details are in the Extended Experimental Procedures | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 5 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  8934-8953 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  8800-9021 | Citation Text:  Are we on the verge of a major breakthrough in the treatment of KRAS-induced NSCLC? Possibly; however, we should consider the data of Kumar et al. (2012) as an exciting but early step in the long process of drug discovery | Reference Offset:  ['63911-64390', '64393-64849', '65307-65671'] | Reference Text:  Our investigations revealed a marked attenuation of autochthonous Kras mutant NSCLC growth in response to systemic Gata2 loss; similar effects were observed with whole-body inhibition of the Myc-Max interaction in a related Kras mutant lung tumor model ( Soucek et al., 2008). However, these findings face the issue of translation into clinically relevant therapies, as DNA-binding proteins are traditionally considered undruggable by the pharmaceutical industry ( Darnell, 2002) ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... Finally, as GATA2 functions with STAT5 (Hennighausen and Robinson, 2008), a transcription factor regulated by phosphorylation, it would be intriguing to determine its regulatory kinase or kinases, as these factors might serve as therapeutic targets. We anticipate that this report will extend the basis for combinatorial design of targeted therapies in lung cancer | Discourse Facet:  Implication_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 6 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  9385-9404 | Citation Marker:  Kumar et al. (2012) | Citation Offset:  9343-9572 | Citation Text:  In spite of these caveats, the results of Kumar et al. (2012) represent a very important advance in the long-standing fight to conquer lung cancer. Undoubtedly, they have opened an important ìGATAwayî toward this challenging goal | Reference Offset:  ['58817-59475', '63911-64390', '64393-64849'] | Reference Text:  Quantitation of these effects revealed major reductions in tumor burden, tumor number, and average tumor size with the combination therapy relative to both control and single-drug treatments ( Figures 7Cñ7E). Although the effect of this combination on the stroma might also contribute to inhibition of tumor growth, as seen for ROCK/JAK inhibition in squamous cell cancers ( Sanz-Moreno et al., 2011), our combined genetic and pharmacological analyses suggest a strong cell-autonomous effect of GATA2 pathway suppression on the tumor tissue, as in the KrasLSL-G12D model Gata2 is deleted only in tumor cells and not stroma, endothelial, or other host tissues ... Our investigations revealed a marked attenuation of autochthonous Kras mutant NSCLC growth in response to systemic Gata2 loss; similar effects were observed with whole-body inhibition of the Myc-Max interaction in a related Kras mutant lung tumor model ( Soucek et al., 2008). However, these findings face the issue of translation into clinically relevant therapies, as DNA-binding proteins are traditionally considered undruggable by the pharmaceutical industry ( Darnell, 2002) ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  H, |

